'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/09/2024,3.3,0.0, ,20.6,1.4,99,33,3.39,17.44
TEMORA AIRPORT,02/09/2024,3.8,0.0, ,15.6,5.5,80,33,7.54,16.79
TEMORA AIRPORT,03/09/2024, ,0.0, , ,0.6,99,51,2.40,17.69
TEMORA AIRPORT,04/09/2024,3.2, , ,20.7,-2.3,99,32,2.71,17.91
TEMORA AIRPORT,05/09/2024,4.4,0.0, ,24.6,4.8,88,36,4.96,15.63
TEMORA AIRPORT,06/09/2024,5.9,0.0, ,26.8,10.6,83,29,6.82,18.12
TEMORA AIRPORT,07/09/2024,2.9,0.0, ,19.6,13.2,94,42,2.82,15.52
TEMORA AIRPORT,08/09/2024,2.8,0.0, ,19.5,3.1,97,33,2.26,15.31
TEMORA AIRPORT,09/09/2024,2.2,0.0, ,17.7,1.1,98,55,2.28,14.08
TEMORA AIRPORT,10/09/2024,2.7,0.0, ,20.8,0.4,99,46,1.50,18.87
TEMORA AIRPORT,11/09/2024,2.4,0.0, ,22.0,0.5,99,39,1.34,13.71
TEMORA AIRPORT,12/09/2024,2.4,0.4, ,18.2,6.9,99,51,3.39,10.99
TEMORA AIRPORT,13/09/2024,2.8,0.2, ,19.2,0.9,100,40,1.70,19.35
TEMORA AIRPORT,14/09/2024,3.0,0.0, ,18.0,-1.2,99,41,3.41,18.61
TEMORA AIRPORT,15/09/2024,3.2,0.0, ,14.8,-0.4,90,31,4.02,19.86
TEMORA AIRPORT,16/09/2024,3.1,0.0, ,16.0,-4.7,99,38,3.89,19.81
TEMORA AIRPORT,17/09/2024,3.1,0.0, ,19.2,-1.5,99,35,2.37,20.14
TEMORA AIRPORT,18/09/2024,4.1,0.0, ,22.3,-3.3,99,19,2.99,20.33
TEMORA AIRPORT,19/09/2024,4.2,0.0, ,21.4,-1.1,85,22,3.61,18.86
TEMORA AIRPORT,20/09/2024,3.4,0.0, ,19.0,0.6,93,39,3.49,18.98
TEMORA AIRPORT,21/09/2024,3.3,0.0, ,19.9,3.0,96,37,3.30,16.47
TEMORA AIRPORT,22/09/2024,3.3,0.0, ,21.3,2.1,98,36,2.23,19.46
TEMORA AIRPORT,23/09/2024,4.3,0.0, ,25.1,0.3,99,24,2.63,21.12
TEMORA AIRPORT,24/09/2024,5.4,0.0, ,29.0,4.3,92,16,3.29,19.11
TEMORA AIRPORT,25/09/2024,2.5,1.0, ,18.9,14.6,100,33,3.51,4.86
TEMORA AIRPORT,26/09/2024,1.7,20.2, ,12.4,8.8,100,62,4.08,8.54
TEMORA AIRPORT,27/09/2024,3.6,0.0, ,18.4,3.5,99,40,3.99,22.04
TEMORA AIRPORT,28/09/2024,3.6,0.0, ,20.5,2.1,98,45,3.43,21.84
TEMORA AIRPORT,29/09/2024,3.4,0.0, ,22.0,5.3,94,44,3.18,16.34
TEMORA AIRPORT,30/09/2024,3.7,0.6, ,19.4,9.7,99,44,3.36,22.15
Totals:,,97.7,22.4, ,,,,,, 
