'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/11/2024,6.1,0.0, ,26.0,2.1,92,10,3.25,27.07
TEMORA AIRPORT,02/11/2024,7.4,0.0, ,29.7,8.5,77,17,4.46,27.14
TEMORA AIRPORT,03/11/2024,9.1,0.0, ,34.8,13.0,70,9,5.61,19.64
TEMORA AIRPORT,04/11/2024,5.4,0.0, ,28.4,16.7,63,22,2.75,18.44
TEMORA AIRPORT,05/11/2024,5.9,1.6, ,31.1,6.1,86,15,1.94,27.00
TEMORA AIRPORT,06/11/2024,8.5,0.0, ,36.6,8.5,78,16,4.59,20.16
TEMORA AIRPORT,07/11/2024,3.9,0.0, ,24.2,18.9,99,26,3.62,11.37
TEMORA AIRPORT,08/11/2024,6.1,1.6, ,25.5,6.4,100,18,4.26,26.17
TEMORA AIRPORT,09/11/2024,5.7,0.0, ,28.1,3.9,88,15,2.61,24.58
TEMORA AIRPORT,10/11/2024,7.1,0.0, ,29.1,11.3,62,16,3.60,27.71
TEMORA AIRPORT,11/11/2024,4.2,0.0, ,26.0,14.6,76,31,3.02,11.62
TEMORA AIRPORT,12/11/2024,5.5,0.0, ,29.8,8.2,91,29,2.78,21.79
TEMORA AIRPORT,13/11/2024,5.1,4.4, ,28.0,16.4,100,34,3.38,19.81
TEMORA AIRPORT,14/11/2024,6.3,9.6, ,27.4,12.9,88,18,3.22,27.89
TEMORA AIRPORT,15/11/2024,7.2,0.0, ,31.4,12.6,88,13,3.35,28.03
TEMORA AIRPORT,16/11/2024,9.3,0.0, ,34.9,15.7,78,20,5.96,27.04
TEMORA AIRPORT,17/11/2024,3.5,0.0, ,27.8,22.4,100,46,6.42,4.33
TEMORA AIRPORT,18/11/2024,6.2,18.4, ,24.3,9.1,81,27,4.48,28.48
TEMORA AIRPORT,19/11/2024,6.0,0.2, ,27.6,5.8,94,14,2.48,28.59
TEMORA AIRPORT,20/11/2024,6.8,0.0, ,30.8,11.0,85,23,3.40,27.27
TEMORA AIRPORT,21/11/2024, ,0.0, , ,16.3,79,24,3.99,27.88
TEMORA AIRPORT,22/11/2024, , , ,33.6, ,69,19,2.67,27.25
TEMORA AIRPORT,23/11/2024,7.6,0.0, ,36.5,15.7,75,15,2.92,26.22
TEMORA AIRPORT,24/11/2024,8.9,0.0, ,37.4,14.9,82,14,4.40,24.96
TEMORA AIRPORT,25/11/2024,9.6,0.0, ,37.7,16.1,81,14,5.27,24.31
TEMORA AIRPORT,26/11/2024,4.7,0.0, ,31.3,18.3,82,36,3.52,10.76
TEMORA AIRPORT,27/11/2024,2.8,3.0, ,24.9,19.2,100,62,4.46,9.13
TEMORA AIRPORT,28/11/2024,7.4,6.6, ,33.1,20.0,97,24,3.68,27.74
TEMORA AIRPORT,29/11/2024,5.3,0.0, ,30.1,19.9,99,41,4.81,17.31
TEMORA AIRPORT,30/11/2024, ,54.2, ,25.8,19.0,100,65,4.39, 
Totals:,,171.6,99.6, ,,,,,, 
