'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/06/2025,1.4,0.0, ,19.1,-0.1,100,43,1.41,11.18
TEMORA AIRPORT,02/06/2025,1.1,0.0, ,17.6,3.1,99,58,1.39,10.46
TEMORA AIRPORT,03/06/2025,1.7,0.0, ,18.2,3.3,100,51,3.11,10.72
TEMORA AIRPORT,04/06/2025,2.1,0.2, ,13.6,3.2,84,33,3.96,11.04
TEMORA AIRPORT,05/06/2025,1.3,0.0, ,15.2,-2.5,98,36,1.46,10.99
TEMORA AIRPORT,06/06/2025,1.3,0.0, ,14.0,-0.6,99,49,2.28,7.76
TEMORA AIRPORT,07/06/2025,1.9,0.6, ,13.9,4.6,94,50,5.23,9.33
TEMORA AIRPORT,08/06/2025,1.5,3.8, ,10.7,6.1,96,59,6.93,7.14
TEMORA AIRPORT,09/06/2025,0.7,1.8, ,10.4,4.2,99,87,5.61,4.61
TEMORA AIRPORT,10/06/2025,0.7,2.2, ,10.2,5.4,99,82,3.85,5.42
TEMORA AIRPORT,11/06/2025,0.9,0.0, ,12.5,6.7,100,65,1.75,6.66
TEMORA AIRPORT,12/06/2025,0.8,0.0, ,12.9,1.9,100,63,1.14,8.93
TEMORA AIRPORT,13/06/2025,1.0,0.0, ,13.2,-1.2,100,51,1.35,10.77
TEMORA AIRPORT,14/06/2025,1.0,0.2, ,15.3,-1.6,100,53,1.39,10.71
TEMORA AIRPORT,15/06/2025,0.7,1.8, ,10.9,1.9,100,77,2.07,5.64
TEMORA AIRPORT,16/06/2025,1.0,1.6, ,13.5,0.0,100,54,1.44,10.70
TEMORA AIRPORT,17/06/2025,1.2,0.0, ,14.0,-0.2,100,54,2.46,9.76
TEMORA AIRPORT,18/06/2025,1.0,0.0, ,12.5,-0.5,100,52,1.60,10.37
TEMORA AIRPORT,19/06/2025,0.8,0.0, ,12.0,-2.1,99,58,1.30,10.14
TEMORA AIRPORT,20/06/2025,0.9,0.2, ,13.7,-3.5,99,53,1.11,10.72
TEMORA AIRPORT,21/06/2025,1.2,0.2, ,15.8,-4.1,99,41,1.38,10.73
TEMORA AIRPORT,22/06/2025,1.4,0.0, ,17.3,-3.5,99,48,2.05,10.59
TEMORA AIRPORT,23/06/2025,2.2,0.0, ,20.8,3.2,100,52,4.62,10.24
TEMORA AIRPORT,24/06/2025,2.2,15.0, ,15.0,11.3,100,45,7.22,10.76
TEMORA AIRPORT,25/06/2025,1.6,1.0, ,12.3,7.3,98,61,7.96,7.00
TEMORA AIRPORT,26/06/2025,1.3,4.8, ,11.2,1.0,99,50,3.07,10.79
TEMORA AIRPORT,27/06/2025,1.1,0.2, ,13.4,-2.3,99,48,1.71,10.81
TEMORA AIRPORT,28/06/2025,1.0,0.2, ,15.4,-1.0,100,52,1.25,10.84
TEMORA AIRPORT,29/06/2025,0.9,0.0, ,14.3,-1.0,100,54,1.25,9.30
TEMORA AIRPORT,30/06/2025,1.1,0.2, ,13.0,-1.3,100,56,2.11,10.70
Totals:,,37,34, ,,,,,, 
