'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/09/2024,4.7,0.0, ,26.4,13.1,47,16,3.00,17.67
TERREY HILLS,02/09/2024,6.3,0.0, ,24.4,15.9,35,19,5.42,17.76
TERREY HILLS,03/09/2024,3.1,0.0, ,16.3,8.7,76,30,2.79,17.97
TERREY HILLS,04/09/2024,3.3,0.0, ,20.2,7.8,78,40,2.95,18.02
TERREY HILLS,05/09/2024,4.5,0.0, ,27.0,13.0,55,27,3.10,15.27
TERREY HILLS,06/09/2024,5.4,0.0, ,28.3,15.9,60,27,4.07,18.42
TERREY HILLS,07/09/2024,3.6,0.0, ,24.4,18.1,95,43,3.03,17.17
TERREY HILLS,08/09/2024,1.7,0.0, ,18.6,14.7,97,48,1.50,6.32
TERREY HILLS,09/09/2024,4.0,0.0, ,23.6,11.9,55,31,2.66,18.27
TERREY HILLS,10/09/2024,2.9,0.0, ,19.7,10.9,83,49,2.41,16.40
TERREY HILLS,11/09/2024,3.5,0.0, ,25.4,11.5,93,39,1.95,18.59
TERREY HILLS,12/09/2024,2.6,0.0, ,18.8,15.2,95,49,3.91,10.28
TERREY HILLS,13/09/2024,3.0,13.2, ,17.5,10.1,90,50,2.93,19.02
TERREY HILLS,14/09/2024,3.8,0.0, ,22.3,9.2,92,33,2.88,19.67
TERREY HILLS,15/09/2024,3.1,0.0, ,14.4,6.8,76,46,5.28,15.08
TERREY HILLS,16/09/2024,3.7,0.0, ,18.6,5.3,72,26,2.84,20.21
TERREY HILLS,17/09/2024,3.4,0.0, ,19.4,8.5,82,38,2.56,20.33
TERREY HILLS,18/09/2024,5.1,0.0, ,25.0,6.7,72,11,3.25,20.53
TERREY HILLS,19/09/2024,6.6,0.0, ,25.9,14.0,35,11,4.64,20.66
TERREY HILLS,20/09/2024,4.8,0.0, ,23.6,10.6,54,17,2.94,20.90
TERREY HILLS,21/09/2024,4.6,0.0, ,23.5,10.8,55,24,2.89,21.04
TERREY HILLS,22/09/2024,4.5,0.0, ,24.4,10.7,58,23,2.64,20.05
TERREY HILLS,23/09/2024,5.1,0.0, ,28.1,12.3,60,21,2.69,21.44
TERREY HILLS,24/09/2024,3.4,0.0, ,24.5,13.4,87,43,2.09,16.48
TERREY HILLS,25/09/2024,3.5,0.0, ,29.0,17.1,90,31,2.34,10.15
TERREY HILLS,26/09/2024,1.2,10.8, ,13.9,10.2,97,78,3.04,4.57
TERREY HILLS,27/09/2024,2.7,55.0, ,16.1,10.0,92,54,4.10,13.76
TERREY HILLS,28/09/2024,3.0,2.0, ,18.0,11.0,94,56,3.02,18.85
TERREY HILLS,29/09/2024,2.1,1.2, ,18.8,12.4,96,81,1.64,12.84
TERREY HILLS,30/09/2024,2.4,4.0, ,18.6,13.7,96,69,2.65,13.99
Totals:,,111.6,86.2, ,,,,,, 
