'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/02/2025,3.6,0.8, ,25.2,19.7,93,69,2.15,17.39
TERREY HILLS,02/02/2025,5.1,0.2, ,26.2,17.9,94,58,2.09,27.37
TERREY HILLS,03/02/2025,5.4,0.0, ,28.0,18.5,94,59,2.67,27.74
TERREY HILLS,04/02/2025,5.5,0.0, ,29.4,19.9,93,61,2.50,27.33
TERREY HILLS,05/02/2025,4.6,0.0, ,31.2,20.9,94,50,2.30,18.75
TERREY HILLS,06/02/2025,4.9,0.2, ,27.0,18.5,95,65,2.26,26.33
TERREY HILLS,07/02/2025,5.8,0.0, ,28.7,20.1,93,57,3.27,28.52
TERREY HILLS,08/02/2025,4.4,0.0, ,28.3,19.1,96,59,2.20,21.30
TERREY HILLS,09/02/2025,4.0,5.4, ,27.5,18.2,97,67,1.78,20.48
TERREY HILLS,10/02/2025,1.9,0.2, ,24.0,20.1,95,78,2.59,7.26
TERREY HILLS,11/02/2025,3.5,31.6, ,25.1,16.9,95,70,1.85,18.37
TERREY HILLS,12/02/2025,4.8,0.0, ,26.8,18.5,95,63,2.56,25.52
TERREY HILLS,13/02/2025,5.0,0.0, ,27.0,20.7,92,69,4.29,25.60
TERREY HILLS,14/02/2025,3.2,0.0, ,28.1,20.3,94,66,2.12,13.36
TERREY HILLS,15/02/2025,4.8,0.0, ,25.8,18.4,96,43,2.32,23.75
TERREY HILLS,16/02/2025,4.8,0.2, ,20.8,13.2,90,35,2.88,27.00
TERREY HILLS,17/02/2025,4.7,0.0, ,22.6,12.1,80,46,2.85,26.43
TERREY HILLS,18/02/2025,4.8,0.0, ,25.9,12.3,83,43,2.26,24.63
TERREY HILLS,19/02/2025,4.3,0.0, ,25.2,17.6,86,59,1.93,22.82
TERREY HILLS,20/02/2025,2.3,0.0, ,21.2,17.8,92,69,2.88,8.84
TERREY HILLS,21/02/2025,2.4,0.0, ,22.8,16.8,96,71,2.40,10.63
TERREY HILLS,22/02/2025,4.4,1.4, ,25.8,17.9,96,64,2.99,23.54
TERREY HILLS,23/02/2025,5.1,0.0, ,27.0,17.5,85,53,3.26,24.81
TERREY HILLS,24/02/2025,4.9,0.0, ,28.2,19.4,89,63,2.77,24.63
TERREY HILLS,25/02/2025,1.8,0.0, ,21.0,19.1,95,76,2.48,6.59
TERREY HILLS,26/02/2025,3.9,0.2, ,27.0,18.3,92,69,2.43,19.50
TERREY HILLS,27/02/2025, ,0.0, , ,20.0,96,66,2.38,24.29
TERREY HILLS,28/02/2025, ,0.0, , , ,100,46,1.88,21.53
Totals:,,109.9,40.2, ,,,,,, 
