'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/04/2025,4.9,1.2, ,22.4,15.1,36,23,3.81,14.29
TERREY HILLS,02/04/2025, ,0.0, , ,14.1,88,27,2.26,16.14
TERREY HILLS,03/04/2025, , , ,25.8, ,95,32,2.22,18.60
TERREY HILLS,04/04/2025,2.9,0.0, ,25.6,14.8,92,59,1.93,15.41
TERREY HILLS,05/04/2025,3.7,0.0, ,24.9,13.4,97,26,2.35,18.37
TERREY HILLS,06/04/2025,3.5,0.0, ,26.1,13.2,93,26,1.88,17.45
TERREY HILLS,07/04/2025,4.0,0.0, ,25.6,13.3,73,29,2.62,18.02
TERREY HILLS,08/04/2025,1.6,2.2, ,20.1,15.0,96,69,1.11,8.49
TERREY HILLS,09/04/2025,2.2,2.6, ,21.9,15.5,98,73,1.85,13.45
TERREY HILLS,10/04/2025,2.5,0.0, ,23.5,15.3,93,56,1.95,12.99
TERREY HILLS,11/04/2025,3.3,0.0, ,27.8,16.0,90,43,1.79,17.32
TERREY HILLS,12/04/2025,2.5,1.4, ,24.4,16.0,96,68,2.19,14.42
TERREY HILLS,13/04/2025,2.8,0.0, ,25.3,16.0,98,54,1.43,16.75
TERREY HILLS,14/04/2025,3.4,0.0, ,27.2,16.2,93,44,2.50,16.14
TERREY HILLS,15/04/2025,2.5,6.6, ,21.4,16.1,97,51,2.91,11.91
TERREY HILLS,16/04/2025,2.4,0.2, ,21.3,14.0,86,61,3.19,11.09
TERREY HILLS,17/04/2025,2.4,1.2, ,22.5,14.2,96,65,3.38,12.60
TERREY HILLS,18/04/2025,3.0,0.0, ,24.0,14.0,93,45,2.36,16.17
TERREY HILLS,19/04/2025,3.5,0.0, ,28.1,13.5,95,34,2.30,16.00
TERREY HILLS,20/04/2025,3.9,0.0, ,29.0,16.3,68,31,2.55,15.86
TERREY HILLS,21/04/2025,3.1,0.0, ,26.4,18.4,89,32,2.28,12.47
TERREY HILLS,22/04/2025,2.3,1.6, ,21.1,13.3,94,64,3.70,11.54
TERREY HILLS,23/04/2025,2.2,22.6, ,22.5,16.4,98,72,4.65,12.02
TERREY HILLS,24/04/2025,2.2,0.4, ,23.1,17.7,94,68,2.30,12.29
TERREY HILLS,25/04/2025,2.2,7.2, ,23.0,15.5,98,66,1.61,14.12
TERREY HILLS,26/04/2025,1.8,2.0, ,22.9,16.1,98,76,1.72,11.24
TERREY HILLS,27/04/2025,1.5,20.4, ,19.7,16.1,97,69,3.00,5.49
TERREY HILLS,28/04/2025,1.6,16.4, ,20.1,15.3,97,86,3.08,10.55
TERREY HILLS,29/04/2025,1.9,2.4, ,22.4,13.6,97,65,2.06,10.87
TERREY HILLS,30/04/2025,1.5,5.2, ,16.9,14.1,97,73,3.71,7.21
Totals:,,75.3,93.6, ,,,,,, 
