'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/06/2025,1.5,0.0, ,19.5,8.9,98,57,1.99,11.42
TERREY HILLS,02/06/2025,1.2,0.0, ,18.1,11.7,98,70,1.88,8.97
TERREY HILLS,03/06/2025,1.6,0.2, ,16.9,10.1,98,47,2.42,10.04
TERREY HILLS,04/06/2025,1.6,1.4, ,12.0,8.6,93,53,4.22,7.96
TERREY HILLS,05/06/2025,1.8,4.4, ,15.9,7.4,75,52,2.99,11.24
TERREY HILLS,06/06/2025,1.6,0.0, ,17.0,6.2,88,48,2.54,8.77
TERREY HILLS,07/06/2025,2.5,0.0, ,19.0,10.4,68,33,3.15,11.16
TERREY HILLS,08/06/2025,2.5,0.0, ,15.1,9.4,66,40,4.37,11.13
TERREY HILLS,09/06/2025,1.9,0.0, ,13.9,5.7,84,45,3.92,10.70
TERREY HILLS,10/06/2025,2.0,1.0, ,16.8,8.0,76,44,3.16,11.09
TERREY HILLS,11/06/2025,1.8,0.0, ,15.4,5.6,80,42,2.94,11.07
TERREY HILLS,12/06/2025,1.5,0.0, ,15.2,6.0,79,56,2.77,10.20
TERREY HILLS,13/06/2025,1.6,0.0, ,14.8,8.6,81,62,3.74,9.52
TERREY HILLS,14/06/2025,1.2,0.0, ,16.1,7.0,96,67,2.29,8.86
TERREY HILLS,15/06/2025,1.3,0.0, ,17.9,8.3,98,60,2.18,10.14
TERREY HILLS,16/06/2025,1.4,7.6, ,16.1,5.6,97,46,2.19,10.99
TERREY HILLS,17/06/2025,1.7,0.0, ,17.4,7.7,80,44,2.41,10.93
TERREY HILLS,18/06/2025,1.5,0.0, ,16.2,4.8,81,44,2.05,10.98
TERREY HILLS,19/06/2025,1.4,0.0, ,17.2,5.0,89,55,2.12,10.73
TERREY HILLS,20/06/2025,1.3,0.0, ,17.2,5.5,96,55,1.99,10.98
TERREY HILLS,21/06/2025,1.5,0.2, ,18.2,5.9,97,51,2.31,10.99
TERREY HILLS,22/06/2025,1.7,0.0, ,19.8,8.1,90,48,2.25,10.99
TERREY HILLS,23/06/2025,1.8,0.0, ,20.7,9.5,87,56,2.75,11.00
TERREY HILLS,24/06/2025,1.9,0.0, ,20.0,13.1,92,55,3.61,8.33
TERREY HILLS,25/06/2025,2.9,3.0, ,15.9,11.0,65,41,5.55,11.00
TERREY HILLS,26/06/2025,1.9,0.0, ,13.9,6.0,65,46,3.38,10.80
TERREY HILLS,27/06/2025,1.5,0.0, ,14.2,7.1,81,55,2.87,9.83
TERREY HILLS,28/06/2025,1.1,0.0, ,15.6,7.0,89,66,1.72,9.66
TERREY HILLS,29/06/2025,1.4,0.0, ,18.7,8.0,96,48,1.64,10.94
TERREY HILLS,30/06/2025,1.3,0.0, ,15.2,7.3,95,59,2.38,10.73
Totals:,,49.9,17.8, ,,,,,, 
