'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/08/2025,0.8,11.8, ,11.4,7.8,98,86,2.84,4.80
TERREY HILLS,02/08/2025,1.0,47.0, ,15.0,8.2,98,83,5.00,5.45
TERREY HILLS,03/08/2025,1.2,51.4, ,15.5,10.3,98,78,3.82,6.47
TERREY HILLS,04/08/2025,1.2,16.2, ,17.5,11.6,98,83,1.38,9.64
TERREY HILLS,05/08/2025,2.0,1.6, ,20.6,9.4,99,54,2.19,13.83
TERREY HILLS,06/08/2025,2.5,0.0, ,17.1,8.7,75,37,3.07,13.94
TERREY HILLS,07/08/2025,1.5,1.6, ,14.7,9.6,97,60,2.70,9.05
TERREY HILLS,08/08/2025,1.7,0.0, ,15.6,8.3,96,55,2.53,11.53
TERREY HILLS,09/08/2025,1.3,20.6, ,15.3,10.2,98,82,2.27,10.51
TERREY HILLS,10/08/2025,1.1,28.2, ,14.3,9.8,99,84,2.16,8.85
TERREY HILLS,11/08/2025,1.5,8.2, ,14.7,8.2,98,67,2.15,12.09
TERREY HILLS,12/08/2025,1.8,0.2, ,16.4,6.5,95,57,2.12,13.82
TERREY HILLS,13/08/2025,2.0,0.0, ,18.6,6.9,98,48,2.01,12.81
TERREY HILLS,14/08/2025,1.1,8.4, ,13.5,9.5,98,82,3.00,7.36
TERREY HILLS,15/08/2025,1.9,6.8, ,18.1,9.3,99,63,2.19,13.52
TERREY HILLS,16/08/2025,2.6,0.0, ,18.9,10.6,80,39,2.81,13.28
TERREY HILLS,17/08/2025,2.4,0.0, ,14.8,5.7,71,34,2.61,15.32
TERREY HILLS,18/08/2025,1.8,0.0, ,13.3,5.1,94,57,3.42,11.91
TERREY HILLS,19/08/2025,1.5,11.0, ,15.9,7.1,98,74,2.21,11.82
TERREY HILLS,20/08/2025,0.9,26.8, ,13.4,9.6,98,93,2.15,6.57
TERREY HILLS,21/08/2025,0.9,52.8, ,14.1,10.3,99,89,2.50,5.90
TERREY HILLS,22/08/2025,1.0,36.4, ,14.9,9.6,99,96,1.81,7.90
TERREY HILLS,23/08/2025,2.5,12.0, ,19.1,10.6,99,53,3.00,15.43
TERREY HILLS,24/08/2025,2.4,0.0, ,17.0,10.3,76,52,2.77,13.07
TERREY HILLS,25/08/2025,2.1,0.0, ,19.9,12.6,92,64,2.49,12.04
TERREY HILLS,26/08/2025,2.6,0.0, ,21.7,13.4,92,64,2.74,16.50
TERREY HILLS,27/08/2025,2.4,0.0, ,20.0,14.0,88,49,3.68,6.86
TERREY HILLS,28/08/2025,3.8,0.0, ,18.4,10.3,65,32,4.51,16.80
TERREY HILLS,29/08/2025,3.5,0.0, ,19.4,9.7,64,32,3.59,14.89
TERREY HILLS,30/08/2025,3.3,0.0, ,16.6,7.3,71,38,4.36,16.48
TERREY HILLS,31/08/2025,2.8,0.0, ,18.5,6.1,80,41,2.29,17.37
Totals:,,59.1,341, ,,,,,, 
