'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THREDBO New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THREDBO,01/09/2024,0.5,2.8, ,2.4,-1.5,100,90,19.49,8.03
THREDBO,02/09/2024,0.8,1.6, ,-1.5,-3.9,100,71,14.46,7.27
THREDBO,03/09/2024,1.6,2.4, ,3.6,-5.7,100,54,7.76,17.25
THREDBO,04/09/2024,2.8,0.0, ,5.7,-1.7,80,34,16.72,17.57
THREDBO,05/09/2024,2.9,0.0, ,8.0,2.0,85,44,20.73,17.28
THREDBO,06/09/2024,1.6,0.0, ,8.4,4.3,100,67,19.29,12.25
THREDBO,07/09/2024,2.5,16.8, ,5.7,1.6,100,29,9.92,18.12
THREDBO,08/09/2024,1.3,0.2, ,1.7,-2.4,100,64,16.92,18.30
THREDBO,09/09/2024,0.7,4.8, ,8.0,-0.6,100,98,15.01,18.49
THREDBO,10/09/2024,3.2,0.0, ,11.7,-1.3,100,25,6.85,18.68
THREDBO,11/09/2024,3.1,0.0, ,8.5,1.8,100,13,6.91,18.62
THREDBO,12/09/2024,1.5,6.2, ,2.0,-0.9,100,47,3.41,13.57
THREDBO,13/09/2024,2.5,0.2, ,6.0,-3.8,100,21,5.29,19.18
THREDBO,14/09/2024,1.8,0.0, ,3.1,-1.5,100,42,8.57,14.57
THREDBO,15/09/2024,1.8,6.2, ,-0.6,-8.2,100,22,7.47,17.16
THREDBO,16/09/2024,2.3,0.0, ,1.7,-6.8,100,17,9.34,19.74
THREDBO,17/09/2024,2.1,2.0, ,2.2,-3.5,100,35,9.52,20.03
THREDBO,18/09/2024,1.8,0.0, ,3.0,-2.9,100,50,16.08,20.23
THREDBO,19/09/2024,1.2,0.0, ,0.0,-1.9,100,55,13.15,8.58
THREDBO,20/09/2024,1.1,0.6, ,-0.2,-3.7,100,73,14.65,19.68
THREDBO,21/09/2024,0.5,7.2, ,0.0,-2.8,100,100,15.81,17.86
THREDBO,22/09/2024,0.6,0.4, ,2.7,-2.6,100,100,17.79,20.77
THREDBO,23/09/2024,1.7,0.0, ,5.9,-0.9,100,69,15.29,21.21
THREDBO,24/09/2024,2.4,0.0, ,8.6,2.4,91,60,11.74,21.27
THREDBO,25/09/2024,1.6,27.2, ,5.4,2.7,100,57,14.21,8.74
THREDBO,26/09/2024,1.9,78.2, ,4.5,-5.5,100,59,3.48,21.38
THREDBO,27/09/2024,2.7,0.0, ,10.6,-7.4,78,28,2.10,21.96
THREDBO,28/09/2024,3.3,0.0, ,12.9,-1.6,100,35,5.39,22.16
THREDBO,29/09/2024,2.8,0.0, ,5.2,2.5,100,22,13.48,17.96
THREDBO,30/09/2024,2.3,10.8, ,7.5,0.0,100,58,4.33,22.55
Totals:,,56.9,167.6, ,,,,,, 
