'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THREDBO New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THREDBO,01/10/2024,3.0,0.0, ,9.3,-0.1,100,31,4.80,22.56
THREDBO,02/10/2024,2.1,0.0, ,10.7,-1.6,100,63,3.04,16.76
THREDBO,03/10/2024,3.0,0.0, ,12.7,0.0,100,47,3.95,22.65
THREDBO,04/10/2024,2.0,0.2, ,9.9,2.7,100,69,14.33,18.15
THREDBO,05/10/2024,1.2,28.6, ,4.4,1.7,100,84,14.41,20.66
THREDBO,06/10/2024,0.7, , ,3.5,0.4,100,98,16.64,16.09
THREDBO,07/10/2024,0.5,4.2, ,4.6,0.7,100,95,12.78,6.11
THREDBO,08/10/2024,2.2,7.6, ,5.8,-3.4,100,67,3.46,23.93
THREDBO,09/10/2024,2.9,0.0, ,9.3,-4.3,100,32,2.71,24.08
THREDBO,10/10/2024,4.4,0.0, ,11.7,-0.1,100,7,8.98,24.24
THREDBO,11/10/2024,2.6,0.0, ,11.0,0.9,100,66,8.47,24.43
THREDBO,12/10/2024,3.6,0.0, ,10.4,0.0,100,10,3.64,24.62
THREDBO,13/10/2024,4.5,0.0, ,10.8,-2.5,61,9,7.16,24.67
THREDBO,14/10/2024,2.9,0.0, ,11.3,4.2,100,58,5.64,23.69
THREDBO,15/10/2024,2.3,11.8, ,9.2,1.6,100,94,2.60,22.47
THREDBO,16/10/2024,2.7,0.0, ,12.1,2.1,100,54,2.97,19.41
THREDBO,17/10/2024, ,19.8, , ,3.2,100,47,8.00,25.09
THREDBO,18/10/2024, , , ,9.9, ,100,82,15.50,9.55
THREDBO,19/10/2024,3.0,79.0, ,10.5,5.0,100,46,6.82,21.47
THREDBO,20/10/2024,4.4,0.4, ,14.5,3.7,87,25,4.94,26.05
THREDBO,21/10/2024,3.9,0.0, ,14.3,0.1,80,31,2.70,26.24
THREDBO,22/10/2024,5.3,0.0, ,17.8,3.4,77,21,6.56,24.98
THREDBO,23/10/2024,3.4,0.0, ,11.5,9.4,100,32,11.17,16.02
THREDBO,24/10/2024,3.1,1.8, ,8.2,0.1,100,41,6.42,26.84
THREDBO,25/10/2024,2.5,0.0, ,3.9,-3.0,100,46,5.88,26.99
THREDBO,26/10/2024,3.9,0.0, ,9.3,-4.1,77,11,4.62,27.11
THREDBO,27/10/2024,3.7,0.0, ,10.7,1.7,70,48,7.88,26.07
THREDBO,28/10/2024,4.1,0.0, ,13.1,4.3,78,42,6.93,26.11
THREDBO,29/10/2024,4.6,0.0, ,14.0,2.1,75,21,4.86,27.63
THREDBO,30/10/2024,4.5,0.0, ,14.5,6.2,85,41,8.51,27.79
THREDBO,31/10/2024,3.8,0.0, ,10.8,4.1,100,34,8.05,27.88
Totals:,,90.8,153.4, ,,,,,, 
