'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THREDBO New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THREDBO,01/03/2025,4.9,0.0, ,18.4,10.1,81,43,9.03,24.06
THREDBO,02/03/2025,4.7,0.0, ,18.4,12.7,99,22,6.39,21.07
THREDBO,03/03/2025,4.0,0.2, ,17.3,4.0,99,25,3.54,22.87
THREDBO,04/03/2025,2.6,0.8, ,15.2,5.2,99,66,3.50,17.54
THREDBO,05/03/2025,4.1,0.0, ,18.9,7.0,82,47,4.06,22.95
THREDBO,06/03/2025,3.6,0.0, ,15.7,8.9,99,36,4.17,21.07
THREDBO,07/03/2025,3.0,0.0, ,15.1,4.4,99,62,4.47,22.09
THREDBO,08/03/2025,4.0,0.0, ,17.5,4.3,89,29,3.58,22.71
THREDBO,09/03/2025,4.2,0.0, ,19.6,4.8,88,28,3.60,21.75
THREDBO,10/03/2025,1.3,3.8, ,13.7,12.0,99,87,4.76,6.84
THREDBO,11/03/2025,3.1,3.4, ,16.6,9.2,99,62,4.25,20.52
THREDBO,12/03/2025,3.2,0.2, ,18.2,5.8,99,48,3.40,18.73
THREDBO,13/03/2025,3.6,0.0, ,18.0,11.2,85,63,7.99,20.94
THREDBO,14/03/2025,4.8,0.0, ,19.7,13.6,83,45,10.55,20.05
THREDBO,15/03/2025,6.5,0.0, ,20.2,11.0,47,20,9.74,14.99
THREDBO,16/03/2025,3.5,0.0, ,16.0,14.0,99,35,12.83,6.67
THREDBO,17/03/2025,2.6,37.4, ,12.7,-3.7,100,57,5.26,20.34
THREDBO,18/03/2025,3.4,0.0, ,14.8,-2.4,79,31,3.81,20.57
THREDBO,19/03/2025,3.3,0.0, ,16.6,4.7,87,63,13.93,19.57
THREDBO,20/03/2025,1.9,0.0, ,13.2,10.6,99,64,13.54,4.25
THREDBO,21/03/2025,2.1,31.2, ,14.8,10.1,99,77,8.83,14.81
THREDBO,22/03/2025,4.1,1.8, ,15.5,7.0,98,11,5.17,19.90
THREDBO,23/03/2025,2.8,0.0, ,16.9,4.5,96,48,2.94,16.78
THREDBO,24/03/2025,3.1,0.0, ,17.4,7.9,99,54,4.87,18.72
THREDBO,25/03/2025,2.4,0.0, ,17.7,9.1,99,58,4.18,11.60
THREDBO,26/03/2025,3.4,0.0, ,18.5,9.9,98,41,4.66,17.75
THREDBO,27/03/2025,2.7,0.0, ,17.5,9.3,99,52,3.80,14.23
THREDBO,28/03/2025,2.3,0.0, ,15.3,8.2,97,63,3.74,13.63
THREDBO,29/03/2025,1.4,2.6, ,11.1,8.2,99,81,5.38,9.81
THREDBO,30/03/2025,0.7,9.4, ,9.0,5.9,100,99,7.71,8.46
THREDBO,31/03/2025,0.7,19.2, ,6.3,4.4,100,100,6.15,8.61
Totals:,,98,110, ,,,,,, 
