'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/12/2024,8.0,0.0, ,36.1,21.9,64,22,3.30,27.10
TIBOOBURRA AIRPORT,02/12/2024,6.0,0.0, ,34.6,24.4,95,30,5.78,9.66
TIBOOBURRA AIRPORT,03/12/2024,8.1,0.8, ,37.7,22.2,97,29,3.99,27.22
TIBOOBURRA AIRPORT,04/12/2024,8.8,0.0, ,38.5,24.8,83,31,4.51,27.66
TIBOOBURRA AIRPORT,05/12/2024,9.3,0.0, ,40.5,27.1,72,22,3.85,28.32
TIBOOBURRA AIRPORT,06/12/2024,10.0,0.0, ,41.1,28.2,76,25,5.07,27.14
TIBOOBURRA AIRPORT,07/12/2024,9.0,1.8, ,39.3,26.1,86,32,5.26,26.03
TIBOOBURRA AIRPORT,08/12/2024,11.3,1.4, ,37.6,27.4,61,18,6.14,31.53
TIBOOBURRA AIRPORT,09/12/2024,7.3,0.0, ,31.9,26.5,81,17,6.21,13.42
TIBOOBURRA AIRPORT,10/12/2024,9.1,0.0, ,35.8,21.7,75,19,4.29,30.47
TIBOOBURRA AIRPORT,11/12/2024,10.6,0.0, ,34.3,22.4,44,12,5.46,31.75
TIBOOBURRA AIRPORT,12/12/2024,9.9,0.0, ,35.6,21.2,29,11,4.17,31.76
TIBOOBURRA AIRPORT,13/12/2024,10.4,0.0, ,38.2,22.4,34,11,4.14,31.76
TIBOOBURRA AIRPORT,14/12/2024,10.2,0.0, ,41.4,25.2,29,10,3.51,30.43
TIBOOBURRA AIRPORT,15/12/2024,9.9,0.0, ,43.6,27.0,23,12,3.36,26.71
TIBOOBURRA AIRPORT,16/12/2024,12.0,0.0, ,44.7,29.5,30,14,4.63,29.91
TIBOOBURRA AIRPORT,17/12/2024,12.2,0.0, ,38.5,31.5,37,19,7.04,23.83
TIBOOBURRA AIRPORT,18/12/2024,13.5,0.0, ,35.4,23.5,24,11,8.30,31.62
TIBOOBURRA AIRPORT,19/12/2024,10.9,0.0, ,37.0,22.3,39,15,5.16,31.68
TIBOOBURRA AIRPORT,20/12/2024,10.5,0.0, ,40.1,24.9,37,17,4.16,30.96
TIBOOBURRA AIRPORT,21/12/2024,12.6,0.0, ,40.6,26.9,23,11,5.56,31.63
TIBOOBURRA AIRPORT,22/12/2024,12.1,0.0, ,38.1,24.1,23,10,5.72,31.55
TIBOOBURRA AIRPORT,23/12/2024,10.5,0.0, ,29.3,19.2,48,11,7.54,31.58
TIBOOBURRA AIRPORT,24/12/2024,10.5,0.0, ,32.3,18.3,33,12,5.87,31.56
TIBOOBURRA AIRPORT,25/12/2024,10.5,0.0, ,38.1,19.5,30,10,4.26,31.60
TIBOOBURRA AIRPORT,26/12/2024,13.6,0.0, ,43.6,23.3,19,6,5.71,31.54
TIBOOBURRA AIRPORT,27/12/2024,11.2,0.0, ,31.6,21.5,47,15,8.28,29.69
TIBOOBURRA AIRPORT,28/12/2024,9.2,0.0, ,32.3,18.4,34,15,4.30,31.45
TIBOOBURRA AIRPORT,29/12/2024,9.6,0.0, ,33.9,20.8,39,15,4.46,31.44
TIBOOBURRA AIRPORT,30/12/2024,10.2,0.0, ,36.2,23.3,28,13,4.53,29.85
TIBOOBURRA AIRPORT,31/12/2024,10.7,0.0, ,36.9,25.5,26,14,5.53,22.76
Totals:,,317.7,4, ,,,,,, 
