'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/07/2025,2.3,0.0, ,15.6,3.3,94,42,4.45,12.70
TIBOOBURRA AIRPORT,02/07/2025,3.0,0.0, ,16.8,2.6,77,32,4.95,13.24
TIBOOBURRA AIRPORT,03/07/2025,2.2,0.0, ,17.7,3.9,76,33,2.41,13.13
TIBOOBURRA AIRPORT,04/07/2025,3.3,0.0, ,18.9,4.0,79,30,4.79,13.29
TIBOOBURRA AIRPORT,05/07/2025,5.0,0.0, ,24.9,6.1,66,17,5.30,11.54
TIBOOBURRA AIRPORT,06/07/2025,4.4,0.0, ,18.5,8.7,60,30,7.49,13.40
TIBOOBURRA AIRPORT,07/07/2025,2.3,0.0, ,19.5,6.0,87,40,2.83,13.41
TIBOOBURRA AIRPORT,08/07/2025,4.5,0.0, ,22.1,7.7,85,21,6.41,10.35
TIBOOBURRA AIRPORT,09/07/2025,4.0,0.0, ,18.3,7.7,63,32,6.96,13.47
TIBOOBURRA AIRPORT,10/07/2025,3.5,0.0, ,16.6,7.2,67,36,6.53,13.52
TIBOOBURRA AIRPORT,11/07/2025,2.4,0.0, ,18.4,3.1,71,35,2.75,13.57
TIBOOBURRA AIRPORT,12/07/2025,2.6,0.0, ,19.7,5.8,67,35,2.69,13.63
TIBOOBURRA AIRPORT,13/07/2025,3.9,0.0, ,22.2,6.5,80,20,4.33,13.69
TIBOOBURRA AIRPORT,14/07/2025,3.5,0.0, ,21.7,6.8,50,24,3.35,13.04
TIBOOBURRA AIRPORT,15/07/2025,2.6,0.0, ,17.0,11.3,88,34,4.61,5.59
TIBOOBURRA AIRPORT,16/07/2025,2.2,0.0, ,16.6,8.1,94,49,4.27,13.13
TIBOOBURRA AIRPORT,17/07/2025,2.8,0.0, ,17.7,4.4,86,33,3.95,14.02
TIBOOBURRA AIRPORT,18/07/2025,2.7,0.0, ,17.7,3.9,84,31,3.48,14.06
TIBOOBURRA AIRPORT,19/07/2025,2.4,0.0, ,17.2,3.4,75,31,2.56,14.14
TIBOOBURRA AIRPORT,20/07/2025,2.5,0.0, ,17.2,3.5,78,24,2.53,14.23
TIBOOBURRA AIRPORT,21/07/2025,3.5,0.0, ,19.1,3.3,67,25,4.41,13.21
TIBOOBURRA AIRPORT,22/07/2025,3.3,0.8, ,17.2,8.5,83,35,5.85,13.85
TIBOOBURRA AIRPORT,23/07/2025,2.8,0.0, ,17.0,2.4,74,33,3.66,14.54
TIBOOBURRA AIRPORT,24/07/2025,3.1,0.0, ,17.3,4.3,71,28,4.13,14.34
TIBOOBURRA AIRPORT,25/07/2025,3.1,0.0, ,17.8,7.8,93,38,6.84,6.57
TIBOOBURRA AIRPORT,26/07/2025,2.0,11.0, ,14.7,7.7,94,67,8.33,11.13
TIBOOBURRA AIRPORT,27/07/2025,2.8,0.0, ,16.5,8.0,90,50,7.22,14.31
TIBOOBURRA AIRPORT,28/07/2025,2.7,0.0, ,17.0,3.7,89,32,3.44,14.66
TIBOOBURRA AIRPORT,29/07/2025,2.8,0.0, ,20.5,9.4,94,44,4.31,10.87
TIBOOBURRA AIRPORT,30/07/2025,2.2,1.0, ,14.2,8.1,95,54,5.85,11.40
TIBOOBURRA AIRPORT,31/07/2025,2.6,0.0, ,16.5,5.3,94,34,3.58,14.62
Totals:,,93,12.8, ,,,,,, 
