'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRANGIE RESEARCH STATION New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRANGIE RESEARCH STATION,01/09/2024,2.9,0.0, ,23.7,4.4,98,28,1.26,18.41
TRANGIE RESEARCH STATION,02/09/2024,3.9,0.0, ,20.2,4.5,97,31,4.74,18.55
TRANGIE RESEARCH STATION,03/09/2024,2.8,0.0, ,17.3,0.5,94,40,2.66,18.72
TRANGIE RESEARCH STATION,04/09/2024,3.7,0.0, ,22.6,3.1,96,33,3.29,18.84
TRANGIE RESEARCH STATION,05/09/2024,4.7,0.0, ,25.4,9.0,75,35,4.33,18.95
TRANGIE RESEARCH STATION,06/09/2024,5.5,0.0, ,27.4,10.7,78,28,4.97,19.12
TRANGIE RESEARCH STATION,07/09/2024,3.9,0.0, ,25.7,9.2,91,40,2.83,19.18
TRANGIE RESEARCH STATION,08/09/2024,1.9,0.6, ,19.0,12.5,94,49,1.48,8.18
TRANGIE RESEARCH STATION,09/09/2024,3.2,0.4, ,22.5,6.5,99,33,1.92,18.65
TRANGIE RESEARCH STATION,10/09/2024,2.9,0.0, ,22.3,3.9,100,40,1.16,19.76
TRANGIE RESEARCH STATION,11/09/2024,3.8,0.0, ,25.8,4.4,99,28,2.30,18.81
TRANGIE RESEARCH STATION,12/09/2024,2.7,0.0, ,18.5,7.4,99,54,4.03,14.92
TRANGIE RESEARCH STATION,13/09/2024,3.4,0.0, ,20.4,4.1,99,38,2.76,20.26
TRANGIE RESEARCH STATION,14/09/2024,3.7,0.0, ,21.6,3.2,99,33,2.96,20.43
TRANGIE RESEARCH STATION,15/09/2024,3.7,0.0, ,16.7,1.7,95,28,4.56,20.62
TRANGIE RESEARCH STATION,16/09/2024,4.2,0.0, ,20.2,-1.7,92,18,3.48,20.79
TRANGIE RESEARCH STATION,17/09/2024,3.5,0.0, ,21.4,0.1,98,28,2.13,20.89
TRANGIE RESEARCH STATION,18/09/2024,4.0,0.0, ,24.8,-1.0,98,17,1.94,21.02
TRANGIE RESEARCH STATION,19/09/2024,6.5,0.0, ,27.5,4.7,63,8,4.34,21.09
TRANGIE RESEARCH STATION,20/09/2024,3.5,0.0, ,21.7,1.5,85,26,1.82,21.18
TRANGIE RESEARCH STATION,21/09/2024,3.9,0.0, ,22.7,1.3,94,26,2.40,21.30
TRANGIE RESEARCH STATION,22/09/2024,4.0,0.0, ,25.0,1.7,91,23,1.87,21.44
TRANGIE RESEARCH STATION,23/09/2024,4.4,0.0, ,28.3,4.2,92,15,1.76,21.62
TRANGIE RESEARCH STATION,24/09/2024,5.8,0.0, ,29.8,9.8,67,13,3.35,18.20
TRANGIE RESEARCH STATION,25/09/2024,3.6,0.0, ,26.6,14.3,100,30,3.08,10.13
TRANGIE RESEARCH STATION,26/09/2024,2.2,4.6, ,19.6,13.7,100,68,3.70,11.12
TRANGIE RESEARCH STATION,27/09/2024,4.2,3.0, ,21.4,7.9,97,35,4.14,21.42
TRANGIE RESEARCH STATION,28/09/2024,4.6,0.0, ,23.5,4.9,95,32,3.79,22.25
TRANGIE RESEARCH STATION,29/09/2024,4.1,0.0, ,25.1,10.1,90,42,3.28,17.79
TRANGIE RESEARCH STATION,30/09/2024,4.8,0.0, ,22.8,9.9,99,29,4.37,22.55
Totals:,,116,8.6, ,,,,,, 
