'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRANGIE RESEARCH STATION New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRANGIE RESEARCH STATION,01/06/2025,1.7,0.2, ,22.2,7.1,96,47,1.47,12.28
TRANGIE RESEARCH STATION,02/06/2025,1.6,0.0, ,19.8,9.5,100,62,2.64,8.85
TRANGIE RESEARCH STATION,03/06/2025,1.7,31.8, ,18.6,9.9,100,57,2.79,11.82
TRANGIE RESEARCH STATION,04/06/2025,2.2,0.2, ,14.8,5.5,86,48,5.00,12.13
TRANGIE RESEARCH STATION,05/06/2025,1.5,0.0, ,17.4,-0.6,95,38,1.46,12.09
TRANGIE RESEARCH STATION,06/06/2025,2.1,0.0, ,18.1,3.7,89,41,2.98,11.02
TRANGIE RESEARCH STATION,07/06/2025,2.1,0.0, ,16.3,7.0,88,44,3.84,11.99
TRANGIE RESEARCH STATION,08/06/2025,2.1,0.0, ,14.3,4.4,88,46,4.78,10.74
TRANGIE RESEARCH STATION,09/06/2025,1.2,0.6, ,10.7,0.9,92,70,5.17,7.45
TRANGIE RESEARCH STATION,10/06/2025,1.5,0.0, ,13.0,3.8,91,57,3.91,9.02
TRANGIE RESEARCH STATION,11/06/2025,1.1,0.0, ,14.9,4.3,95,53,1.26,9.92
TRANGIE RESEARCH STATION,12/06/2025,0.9,0.0, ,13.4,0.9,99,58,1.06,8.41
TRANGIE RESEARCH STATION,13/06/2025,1.2,0.0, ,15.4,6.2,96,51,1.23,9.85
TRANGIE RESEARCH STATION,14/06/2025,1.2,0.0, ,16.8,1.1,98,44,1.20,11.82
TRANGIE RESEARCH STATION,15/06/2025,1.7,0.0, ,17.3,0.7,97,45,2.51,9.89
TRANGIE RESEARCH STATION,16/06/2025,1.7,0.0, ,18.1,2.9,96,39,2.09,11.77
TRANGIE RESEARCH STATION,17/06/2025,1.7,0.2, ,17.7,0.7,98,42,2.39,11.82
TRANGIE RESEARCH STATION,18/06/2025,1.3,0.0, ,14.5,-1.1,97,47,1.81,11.81
TRANGIE RESEARCH STATION,19/06/2025,1.0,0.0, ,14.5,-1.0,98,51,1.06,11.08
TRANGIE RESEARCH STATION,20/06/2025,1.2,0.0, ,16.3,-0.1,99,49,1.17,11.07
TRANGIE RESEARCH STATION,21/06/2025,1.5,0.0, ,19.0,0.0,98,41,1.61,11.82
TRANGIE RESEARCH STATION,22/06/2025,1.9,0.2, ,20.9,3.8,90,52,2.68,11.19
TRANGIE RESEARCH STATION,23/06/2025,2.4,0.0, ,21.7,6.6,95,53,4.40,11.83
TRANGIE RESEARCH STATION,24/06/2025,2.4,16.2, ,18.9,13.2,99,47,5.52,11.46
TRANGIE RESEARCH STATION,25/06/2025,1.9,0.0, ,14.6,4.9,93,55,5.47,9.99
TRANGIE RESEARCH STATION,26/06/2025,1.3,2.4, ,11.6,-0.1,98,54,3.15,11.84
TRANGIE RESEARCH STATION,27/06/2025,1.5,0.0, ,16.2,-0.7,96,38,1.68,11.90
TRANGIE RESEARCH STATION,28/06/2025,1.4,0.2, ,18.3,3.8,97,46,1.51,11.92
TRANGIE RESEARCH STATION,29/06/2025,1.2,0.0, ,18.4,3.7,99,52,1.11,11.40
TRANGIE RESEARCH STATION,30/06/2025,1.6,0.0, ,17.1,2.6,99,49,2.57,11.98
Totals:,,47.8,52, ,,,,,, 
