'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TUGGERANONG (ISABELLA PLAINS) New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TUGGERANONG (ISABELLA PLAINS),01/07/2025,1.3,0.0, ,12.1,3.7,88,68,5.14,4.18
TUGGERANONG (ISABELLA PLAINS),02/07/2025,1.6,1.0, ,13.3,7.5,82,60,4.56,5.14
TUGGERANONG (ISABELLA PLAINS),03/07/2025,1.5,0.0, ,14.4,7.6,89,49,2.78,8.53
TUGGERANONG (ISABELLA PLAINS),04/07/2025,0.6,0.0, ,10.2,-2.5,100,71,0.85,9.32
TUGGERANONG (ISABELLA PLAINS),05/07/2025,0.6,0.2, ,11.7,0.6,100,66,0.44,7.79
TUGGERANONG (ISABELLA PLAINS),06/07/2025,1.0,0.0, ,15.1,1.3,100,52,1.35,7.14
TUGGERANONG (ISABELLA PLAINS),07/07/2025,0.9,12.0, ,13.5,4.5,100,70,1.43,9.26
TUGGERANONG (ISABELLA PLAINS),08/07/2025,1.4,0.0, ,13.2,4.5,99,54,4.10,6.72
TUGGERANONG (ISABELLA PLAINS),09/07/2025,1.8,0.0, ,12.1,4.8,75,47,3.96,8.25
TUGGERANONG (ISABELLA PLAINS),10/07/2025,1.0,2.6, ,7.6,4.4,98,63,3.65,8.06
TUGGERANONG (ISABELLA PLAINS),11/07/2025,1.4,0.8, ,12.6,3.4,99,55,4.05,8.78
TUGGERANONG (ISABELLA PLAINS),12/07/2025,1.5,0.2, ,14.3,2.2,99,40,2.61,10.96
TUGGERANONG (ISABELLA PLAINS),13/07/2025,1.4,0.0, ,11.7,-2.6,100,52,3.54,8.14
TUGGERANONG (ISABELLA PLAINS),14/07/2025,1.6,0.2, ,13.4,0.4,97,41,3.06,11.08
TUGGERANONG (ISABELLA PLAINS),15/07/2025, ,0.0, ,12.1,-2.1,99,40,1.77, 
TUGGERANONG (ISABELLA PLAINS),16/07/2025,1.1,0.0, ,14.0,-6.1,97,43,1.19,11.22
TUGGERANONG (ISABELLA PLAINS),17/07/2025,0.7,0.0, ,12.6,-4.6,99,45,0.38,10.16
TUGGERANONG (ISABELLA PLAINS),18/07/2025,1.0,0.0, ,14.2,-4.8,99,41,0.81,11.37
TUGGERANONG (ISABELLA PLAINS),19/07/2025,1.2,0.0, ,13.9,-4.6,100,37,1.45,10.98
TUGGERANONG (ISABELLA PLAINS),20/07/2025,1.1,0.0, ,15.0,-5.9,99,40,0.94,10.94
TUGGERANONG (ISABELLA PLAINS),21/07/2025,1.2,0.0, ,15.9,0.3,99,46,1.39,9.71
TUGGERANONG (ISABELLA PLAINS),22/07/2025,1.2,0.0, ,15.5,3.3,100,57,2.05,6.39
TUGGERANONG (ISABELLA PLAINS),23/07/2025,1.6,19.8, ,12.1,4.2,92,42,3.01,11.65
TUGGERANONG (ISABELLA PLAINS),24/07/2025,1.2,0.2, ,13.0,-4.1,99,39,1.48,11.87
TUGGERANONG (ISABELLA PLAINS),25/07/2025,0.9,0.0, ,12.1,-4.9,99,46,0.77,8.56
TUGGERANONG (ISABELLA PLAINS),26/07/2025,1.0,14.8, ,12.4,0.7,100,70,2.50,7.07
TUGGERANONG (ISABELLA PLAINS),27/07/2025,1.1,1.6, ,11.9,6.4,99,72,3.35,7.54
TUGGERANONG (ISABELLA PLAINS),28/07/2025,1.2,1.8, ,12.6,6.8,99,66,3.38,8.49
TUGGERANONG (ISABELLA PLAINS),29/07/2025,1.5,0.4, ,12.9,4.8,98,45,2.30,10.74
TUGGERANONG (ISABELLA PLAINS),30/07/2025,1.4,0.6, ,9.4,2.8,88,62,4.66,7.97
TUGGERANONG (ISABELLA PLAINS),31/07/2025,2.3,0.0, ,12.3,5.0,76,41,4.85,12.21
Totals:,,37.3,56.2, ,,,,,, 
