'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/10/2024,3.2,0.0, ,18.8,10.1,89,59,1.60,22.16
ULLADULLA,02/10/2024,3.3,0.0, ,17.6,13.7,89,55,3.53,19.00
ULLADULLA,03/10/2024,3.2,0.0, ,19.3,10.6,86,64,2.62,20.70
ULLADULLA,04/10/2024,3.0,0.0, ,23.0,10.1,92,69,2.27,17.59
ULLADULLA,05/10/2024,4.3,3.6, ,24.7,15.9,95,30,2.76,19.27
ULLADULLA,06/10/2024,5.1,0.0, ,24.6,13.8,88,33,3.93,23.46
ULLADULLA,07/10/2024,4.5,0.0, ,27.8,12.4,90,31,3.67,13.25
ULLADULLA,08/10/2024,3.0,0.0, ,16.0,11.2,85,48,5.29,11.77
ULLADULLA,09/10/2024,3.2,4.0, ,17.0,8.3,90,49,2.78,20.63
ULLADULLA,10/10/2024,4.8,0.0, ,24.8,9.5,90,37,3.35,24.16
ULLADULLA,11/10/2024,3.5,0.0, ,20.2,12.0,95,66,3.94,22.48
ULLADULLA,12/10/2024,3.8,2.4, ,17.6,13.4,89,49,4.85,21.84
ULLADULLA,13/10/2024,4.2,0.0, ,19.3,9.3,82,48,4.05,24.60
ULLADULLA,14/10/2024,3.4,0.0, ,21.3,12.8,90,64,3.85,18.58
ULLADULLA,15/10/2024,3.0,10.0, ,17.8,13.6,95,53,4.92,13.57
ULLADULLA,16/10/2024,4.0,0.0, ,19.1,9.5,74,47,2.30,25.04
ULLADULLA,17/10/2024,3.8,0.0, ,21.2,10.6,89,66,2.49,25.08
ULLADULLA,18/10/2024,1.8,1.8, ,21.5,16.1,94,74,2.72,6.19
ULLADULLA,19/10/2024,3.3,1.8, ,20.7,17.1,92,61,2.10,17.77
ULLADULLA,20/10/2024,4.4,0.0, ,20.2,14.0,91,57,7.08,25.42
ULLADULLA,21/10/2024,4.1,0.0, ,19.1,14.7,80,61,5.77,22.40
ULLADULLA,22/10/2024,3.7,0.0, ,19.8,10.2,88,61,2.20,24.02
ULLADULLA,23/10/2024,2.6,0.0, ,20.8,13.7,92,65,3.00,11.86
ULLADULLA,24/10/2024,2.7,0.0, ,17.9,15.9,90,56,4.11,10.11
ULLADULLA,25/10/2024,4.5,0.2, ,19.0,11.5,90,42,6.27,23.72
ULLADULLA,26/10/2024,4.5,0.2, ,17.7,7.4,68,37,3.34,26.93
ULLADULLA,27/10/2024,4.1,0.0, ,22.4,10.8,89,53,1.94,25.05
ULLADULLA,28/10/2024,2.7,0.0, ,19.4,13.4,79,62,3.57,10.19
ULLADULLA,29/10/2024,4.3,0.0, ,21.2,12.6,87,53,1.73,26.54
ULLADULLA,30/10/2024,4.4,0.0, ,22.3,15.5,89,67,2.27,26.99
ULLADULLA,31/10/2024,2.6,1.0, ,21.8,15.5,94,76,3.21,13.49
Totals:,,113,25, ,,,,,, 
