'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/11/2024,2.0,1.4, ,17.8,14.5,93,72,3.06,9.13
ULLADULLA,02/11/2024,2.8,1.2, ,20.9,12.3,94,64,2.74,13.68
ULLADULLA,03/11/2024,3.2,0.0, ,23.8,16.3,85,65,3.98,12.17
ULLADULLA,04/11/2024,2.5,0.0, ,20.1,14.4,97,69,2.77,12.03
ULLADULLA,05/11/2024,1.8,4.8, ,20.3,13.9,96,82,2.00,8.35
ULLADULLA,06/11/2024, ,0.8, , ,15.5, , , ,24.11
ULLADULLA,07/11/2024, , , , , , , , ,10.73
ULLADULLA,08/11/2024, , , ,27.4, ,92,23,5.04,28.90
ULLADULLA,09/11/2024,4.2,0.2, ,21.3,15.5,91,68,2.81,25.28
ULLADULLA,10/11/2024,4.3,0.6, ,21.3,15.4,92,56,3.99,23.17
ULLADULLA,11/11/2024,2.5,0.0, ,20.6,14.4,86,66,1.13,12.21
ULLADULLA,12/11/2024,3.7,0.0, ,23.3,16.4,93,72,2.55,20.54
ULLADULLA,13/11/2024,3.3,0.0, ,23.6,16.0,95,69,2.62,17.14
ULLADULLA,14/11/2024,2.2,14.0, ,18.6,16.7,94,68,4.37,7.78
ULLADULLA,15/11/2024,2.6,1.6, ,21.0,14.3,96,71,3.46,12.80
ULLADULLA,16/11/2024,4.0,3.0, ,21.8,16.1,92,76,5.63,24.64
ULLADULLA,17/11/2024,3.0,0.0, ,22.5,18.7,95,81,3.73,16.20
ULLADULLA,18/11/2024,5.2,6.6, ,24.8,15.1,95,38,3.26,25.41
ULLADULLA,19/11/2024,2.3,3.0, ,19.8,14.3,94,64,1.46,11.01
ULLADULLA,20/11/2024,3.8,0.6, ,21.3,14.8,94,70,2.21,22.80
ULLADULLA,21/11/2024, ,0.0, , ,17.2,91,69,3.14,30.27
ULLADULLA,22/11/2024, , , ,22.7, ,93,69,4.14,30.08
ULLADULLA,23/11/2024,5.0,0.8, ,24.2,17.9,93,68,3.30,28.92
ULLADULLA,24/11/2024,5.6,0.0, ,26.4,18.4,93,57,3.15,29.34
ULLADULLA,25/11/2024,4.2,0.8, ,23.0,18.1,93,77,2.92,24.24
ULLADULLA,26/11/2024,4.6,1.0, ,24.9,17.8,93,74,2.56,26.06
ULLADULLA,27/11/2024,4.9,0.2, ,31.4,18.9,97,40,2.86,17.78
ULLADULLA,28/11/2024,3.5,1.2, ,27.8,20.9,98,61,2.41,14.16
ULLADULLA,29/11/2024,1.4,31.8, ,20.8,18.2,99,92,2.64,6.43
ULLADULLA,30/11/2024, ,44.6, ,21.0,18.9,99,97,3.07, 
Totals:,,82.6,118.2, ,,,,,, 
