'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/03/2025,4.2,0.0, ,25.5,18.0,95,76,2.19,24.50
ULLADULLA,02/03/2025,1.8,0.0, ,21.7,20.3,98,79,5.67,6.50
ULLADULLA,03/03/2025,2.9,8.0, ,22.5,16.9,97,72,4.84,14.67
ULLADULLA,04/03/2025,3.9,5.8, ,23.6,17.6,96,62,4.31,20.89
ULLADULLA,05/03/2025,3.9,0.0, ,24.9,16.7,88,68,2.22,22.07
ULLADULLA,06/03/2025,3.8,0.0, ,24.8,17.5,91,66,3.53,19.77
ULLADULLA,07/03/2025,3.1,0.2, ,23.5,20.3,87,64,3.50,12.41
ULLADULLA,08/03/2025,3.4,0.6, ,24.7,17.5,93,70,2.52,18.04
ULLADULLA,09/03/2025,3.2,5.0, ,25.4,18.7,96,74,2.60,16.93
ULLADULLA,10/03/2025,4.3,0.0, ,27.0,19.6,93,66,3.83,22.50
ULLADULLA,11/03/2025,3.5,0.4, ,24.8,19.5,95,76,1.56,19.98
ULLADULLA,12/03/2025,3.7,0.2, ,25.2,19.3,94,79,2.27,21.38
ULLADULLA,13/03/2025,3.7,0.0, ,26.9,17.6,96,76,2.54,21.32
ULLADULLA,14/03/2025,3.8,0.0, ,27.4,19.3,95,76,3.22,20.55
ULLADULLA,15/03/2025,4.0,0.0, ,30.8,18.1,95,76,1.50,21.46
ULLADULLA,16/03/2025,6.2,0.0, ,35.4,20.3,97,25,5.17,11.38
ULLADULLA,17/03/2025,4.1,6.2, ,19.5,12.0,95,44,7.01,21.25
ULLADULLA,18/03/2025,3.7,0.0, ,21.9,13.1,78,53,2.77,20.19
ULLADULLA,19/03/2025,3.6,0.0, ,23.7,16.1,83,70,3.72,19.91
ULLADULLA,20/03/2025,2.9,0.0, ,25.1,19.4,91,78,3.57,14.36
ULLADULLA,21/03/2025,1.8,2.0, ,23.4,20.8,98,87,3.57,9.24
ULLADULLA,22/03/2025,2.1,5.4, ,22.0,17.4,97,81,2.63,11.73
ULLADULLA,23/03/2025,1.6,2.2, ,21.6,17.8,96,72,1.35,6.76
ULLADULLA,24/03/2025,3.2,0.0, ,24.3,18.3,93,78,2.13,19.39
ULLADULLA,25/03/2025,2.8, , ,23.6,19.1,95,80,2.17,16.32
ULLADULLA,26/03/2025,3.3,0.2, ,25.6,17.5,96,74,1.80,19.57
ULLADULLA,27/03/2025,2.1,0.0, ,23.0,19.1,96,82,3.93,10.43
ULLADULLA,28/03/2025,2.4,3.0, ,24.3,18.7,95,72,2.63,11.42
ULLADULLA,29/03/2025,1.3,16.0, ,20.4,17.2,99,87,7.27,4.85
ULLADULLA,30/03/2025,1.7,70.4, ,21.0,17.0,99,83,11.51,7.62
ULLADULLA,31/03/2025,2.1,31.2, ,20.0,16.1,98,79,8.81,12.27
Totals:,,98.1,156.8, ,,,,,, 
