'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/04/2025,3.0,4.6, ,20.4,15.4,94,67,8.65,14.39
ULLADULLA,02/04/2025,3.1,0.0, ,21.3,13.9,86,56,2.64,18.23
ULLADULLA,03/04/2025,3.0,0.0, ,22.5,14.1,88,56,2.19,17.50
ULLADULLA,04/04/2025,2.7,0.0, ,22.2,16.4,85,60,2.06,14.89
ULLADULLA,05/04/2025,3.1,0.0, ,21.4,13.9,81,46,2.78,15.55
ULLADULLA,06/04/2025,2.7,0.0, ,23.2,9.4,88,26,1.91,9.98
ULLADULLA,07/04/2025,3.7,0.0, ,22.9,14.3,68,41,3.06,16.98
ULLADULLA,08/04/2025,2.9,0.2, ,21.1,15.4,81,55,2.46,16.32
ULLADULLA,09/04/2025,2.7,0.0, ,21.8,13.7,86,65,2.83,15.63
ULLADULLA,10/04/2025,2.9,0.0, ,25.2,17.7,82,67,3.18,13.60
ULLADULLA,11/04/2025,4.1,0.0, ,26.5,16.2,87,39,3.77,16.58
ULLADULLA,12/04/2025,2.7,0.0, ,22.7,17.3,90,69,2.36,16.20
ULLADULLA,13/04/2025,2.8,0.0, ,24.4,15.5,94,64,2.58,16.05
ULLADULLA,14/04/2025,3.2,0.0, ,23.1,15.9,89,60,5.57,14.60
ULLADULLA,15/04/2025,3.2,2.6, ,21.5,16.0,91,50,5.35,11.72
ULLADULLA,16/04/2025,2.8,0.0, ,20.6,14.8,86,60,4.22,14.32
ULLADULLA,17/04/2025,2.7,0.6, ,21.4,15.3,87,66,4.20,14.89
ULLADULLA,18/04/2025,2.4,0.0, ,22.5,14.1,90,63,1.81,15.11
ULLADULLA,19/04/2025,2.6,1.0, ,26.7,14.4,94,42,1.38,14.81
ULLADULLA,20/04/2025,2.7,0.0, ,26.3,16.6,88,40,1.53,14.79
ULLADULLA,21/04/2025,2.1,1.2, ,22.5,16.2,96,71,3.04,12.11
ULLADULLA,22/04/2025,2.0,57.8, ,22.3,14.6,96,80,7.12,11.03
ULLADULLA,23/04/2025,1.6,8.6, ,21.7,17.9,96,78,2.99,7.56
ULLADULLA,24/04/2025,2.0,35.4, ,22.7,15.7,95,73,1.99,12.58
ULLADULLA,25/04/2025,2.2,0.0, ,22.4,14.1,95,73,3.21,14.36
ULLADULLA,26/04/2025,1.8,0.0, ,22.4,16.2,93,72,2.09,9.33
ULLADULLA,27/04/2025,1.2,11.8, ,20.1,16.8,98,89,4.93,6.52
ULLADULLA,28/04/2025,1.2,82.4, ,19.6,15.3,96,86,4.37,6.16
ULLADULLA,29/04/2025,1.6,5.2, ,19.9,15.3,96,72,4.34,6.28
ULLADULLA,30/04/2025,1.6,55.6, ,16.2,12.5,98,70,6.77,6.44
Totals:,,76.3,267, ,,,,,, 
