'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WAGGA WAGGA AMO New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WAGGA WAGGA AMO,01/03/2025,6.6,0.0, ,36.2,13.9,86,19,2.70,24.41
WAGGA WAGGA AMO,02/03/2025,6.6,0.0, ,34.4,13.7,64,14,2.88,22.37
WAGGA WAGGA AMO,03/03/2025,6.4,0.0, ,31.9,15.4,82,26,3.56,23.87
WAGGA WAGGA AMO,04/03/2025,7.1,0.0, ,32.2,15.9,70,27,4.61,23.60
WAGGA WAGGA AMO,05/03/2025,6.6,0.0, ,32.5,15.1,66,26,3.67,23.39
WAGGA WAGGA AMO,06/03/2025,7.1,0.0, ,32.4,17.0,74,27,4.80,23.08
WAGGA WAGGA AMO,07/03/2025,7.1,0.0, ,30.8,15.2,66,32,5.73,22.84
WAGGA WAGGA AMO,08/03/2025,7.4,0.0, ,31.6,11.8,87,29,6.44,22.61
WAGGA WAGGA AMO,09/03/2025,6.8,0.0, ,34.3,19.7,89,32,5.07,20.23
WAGGA WAGGA AMO,10/03/2025,2.7,0.0, ,26.3,20.7,92,60,2.95,8.53
WAGGA WAGGA AMO,11/03/2025,4.3,6.4, ,34.1,18.2,94,28,0.69,22.39
WAGGA WAGGA AMO,12/03/2025,3.6,0.2, ,32.4,20.1,71,31,0.00,22.00
WAGGA WAGGA AMO,13/03/2025,3.5,0.0, ,34.7,18.9,73,30,0.00,21.62
WAGGA WAGGA AMO,14/03/2025,5.3,0.0, ,37.4,18.0,83,22,1.77,20.81
WAGGA WAGGA AMO,15/03/2025,6.3,0.0, ,38.6,16.3,66,15,2.51,19.45
WAGGA WAGGA AMO,16/03/2025,8.4,0.0, ,36.8,20.9,81,21,7.49,9.83
WAGGA WAGGA AMO,17/03/2025,5.5,0.0, ,23.6,8.8,75,21,5.08,20.73
WAGGA WAGGA AMO,18/03/2025,5.9,0.0, ,27.9,12.3,63,24,4.45,19.61
WAGGA WAGGA AMO,19/03/2025,7.2,0.0, ,34.7,16.8,66,27,4.90,19.02
WAGGA WAGGA AMO,20/03/2025,4.5,1.6, ,31.2,20.0,80,39,4.22,8.98
WAGGA WAGGA AMO,21/03/2025,4.2,7.0, ,28.8,19.9,96,48,3.53,16.65
WAGGA WAGGA AMO,22/03/2025,3.9,0.2, ,28.0,12.1,96,35,1.82,19.70
WAGGA WAGGA AMO,23/03/2025,5.0,0.0, ,31.3,15.7,85,35,3.25,18.61
WAGGA WAGGA AMO,24/03/2025,4.9,0.0, ,32.0,18.5,81,33,2.66,19.39
WAGGA WAGGA AMO,25/03/2025,5.8,0.0, ,32.4,20.5,70,32,3.80,19.30
WAGGA WAGGA AMO,26/03/2025,5.4,0.0, ,32.6,17.2,83,27,3.12,19.20
WAGGA WAGGA AMO,27/03/2025, ,0.0, , ,18.6,100,28,3.73,18.95
WAGGA WAGGA AMO,28/03/2025, , , ,27.6, ,72,45,5.53,9.72
WAGGA WAGGA AMO,29/03/2025,2.7,4.0, ,25.7,17.4,95,58,3.76,8.72
WAGGA WAGGA AMO,30/03/2025,4.3,0.2, ,28.9,14.9,97,37,3.75,15.39
WAGGA WAGGA AMO,31/03/2025,5.1,0.0, ,28.0,16.0,73,30,4.16,16.99
Totals:,,160.2,19.6, ,,,,,, 
