'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALGETT AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALGETT AIRPORT,01/05/2025,3.2,0.0, ,21.9,9.8,95,44,4.04,15.74
WALGETT AIRPORT,02/05/2025,3.3,0.0, ,23.0,7.8,91,42,3.88,15.64
WALGETT AIRPORT,03/05/2025,3.0,0.0, ,23.6,6.2,99,35,2.57,15.70
WALGETT AIRPORT,04/05/2025,3.5,0.0, ,25.1,10.2,87,36,3.30,15.54
WALGETT AIRPORT,05/05/2025,2.6,0.0, ,25.6,12.0,90,48,1.82,13.95
WALGETT AIRPORT,06/05/2025,2.8,0.0, ,26.8,12.1,91,43,1.97,14.83
WALGETT AIRPORT,07/05/2025,2.4,0.0, ,26.8,9.9,99,41,1.20,15.09
WALGETT AIRPORT,08/05/2025,4.1,0.0, ,23.1,11.5,93,27,5.22,15.12
WALGETT AIRPORT,09/05/2025,3.3,0.0, ,24.3,5.6,80,41,3.36,15.01
WALGETT AIRPORT,10/05/2025,3.0,0.0, ,23.5,10.0,85,42,3.10,14.85
WALGETT AIRPORT,11/05/2025,3.2,0.0, ,24.9,11.7,85,41,3.03,14.74
WALGETT AIRPORT,12/05/2025,2.4,0.0, ,25.4,11.6,95,45,1.64,14.14
WALGETT AIRPORT,13/05/2025,2.5,0.0, ,25.7,10.9,92,47,1.74,14.59
WALGETT AIRPORT,14/05/2025,2.7,0.0, ,26.2,10.6,97,46,2.21,14.16
WALGETT AIRPORT,15/05/2025,1.8,0.6, ,24.2,12.5,99,61,1.61,9.59
WALGETT AIRPORT,16/05/2025,1.8,0.4, ,22.4,10.7,99,60,1.51,11.88
WALGETT AIRPORT,17/05/2025,2.9,3.4, ,22.5,13.4,99,36,3.38,13.58
WALGETT AIRPORT,18/05/2025,2.9,0.0, ,20.0,5.8,89,37,3.71,14.12
WALGETT AIRPORT,19/05/2025,3.1,0.0, ,21.2,5.9,92,44,4.92,13.78
WALGETT AIRPORT,20/05/2025,2.9,0.0, ,22.4,9.6,95,51,5.48,10.41
WALGETT AIRPORT,21/05/2025,2.3,0.0, ,23.7,13.2,98,45,1.89,13.55
WALGETT AIRPORT,22/05/2025,1.4,0.0, ,20.9,10.4,99,65,1.33,8.68
WALGETT AIRPORT,23/05/2025,1.8,0.0, ,21.2,5.8,99,42,1.14,13.61
WALGETT AIRPORT,24/05/2025,1.9,0.2, ,22.2,4.0,99,41,1.41,13.65
WALGETT AIRPORT,25/05/2025,1.5,0.0, ,23.9,4.5,99,32,0.71,9.40
WALGETT AIRPORT,26/05/2025,1.8,0.0, ,24.1,10.7,99,56,2.39,5.95
WALGETT AIRPORT,27/05/2025,2.7,8.4, ,19.5,14.9,100,39,4.63,12.75
WALGETT AIRPORT,28/05/2025,2.5,0.0, ,19.0,6.7,82,45,3.48,12.85
WALGETT AIRPORT,29/05/2025,1.4,0.0, ,15.1,9.0,90,64,2.22,8.18
WALGETT AIRPORT,30/05/2025,1.9,0.0, ,21.0,8.8,99,51,2.14,11.88
WALGETT AIRPORT,31/05/2025,2.0,0.0, ,23.1,8.3,99,51,1.89,12.59
Totals:,,78.6,13, ,,,,,, 
