'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANAARING (BORRONA DOWNS) New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANAARING (BORRONA DOWNS),01/11/2024,4.2,0.0, ,31.6,17.1,43,10,0.00,28.46
WANAARING (BORRONA DOWNS),02/11/2024,4.1,0.0, ,33.9,16.6,33,8,0.00,28.60
WANAARING (BORRONA DOWNS),03/11/2024,3.7,0.0, ,39.6,19.7,19,4,0.00,25.57
WANAARING (BORRONA DOWNS),04/11/2024,3.9,0.0, ,38.7,26.2,24,9,0.00,23.79
WANAARING (BORRONA DOWNS),05/11/2024,4.4,0.0, ,39.1,23.1,31,10,0.00,28.04
WANAARING (BORRONA DOWNS),06/11/2024,3.9,0.0, ,44.9,27.3,22,7,0.00,23.98
WANAARING (BORRONA DOWNS),07/11/2024,4.0,0.0, ,35.1,26.6,79,23,0.00,20.22
WANAARING (BORRONA DOWNS),08/11/2024,4.4,1.4, ,33.4,14.7,64,9,0.00,29.38
WANAARING (BORRONA DOWNS),09/11/2024,3.6,0.0, ,32.2,18.6,31,10,0.00,22.95
WANAARING (BORRONA DOWNS),10/11/2024,3.8,0.0, ,34.1,22.2,21,9,0.00,24.49
WANAARING (BORRONA DOWNS),11/11/2024,2.1,0.0, ,27.8,22.1,69,25,0.00,9.95
WANAARING (BORRONA DOWNS),12/11/2024,4.1,1.0, ,35.0,17.4,87,19,0.00,22.81
WANAARING (BORRONA DOWNS),13/11/2024,4.7,0.2, ,34.5,20.8,58,19,0.00,27.82
WANAARING (BORRONA DOWNS),14/11/2024,4.5,0.0, ,32.1,19.6,32,13,0.00,29.92
WANAARING (BORRONA DOWNS),15/11/2024,4.2,0.0, ,35.2,17.5,30,6,0.00,29.00
WANAARING (BORRONA DOWNS),16/11/2024,4.1,0.0, ,39.8,19.7,34,10,0.00,25.37
WANAARING (BORRONA DOWNS),17/11/2024,4.4,0.0, ,41.3,27.7,51,7,0.00,24.04
WANAARING (BORRONA DOWNS),18/11/2024,3.7,0.0, ,30.8,21.3,36,9,0.00,23.25
WANAARING (BORRONA DOWNS),19/11/2024,4.4,0.0, ,33.0,18.9,28,9,0.00,30.06
WANAARING (BORRONA DOWNS),20/11/2024,4.8,0.0, ,35.7,19.8,50,10,0.00,30.09
WANAARING (BORRONA DOWNS),21/11/2024,5.3,0.0, ,35.1,20.3,76,25,0.00,29.84
WANAARING (BORRONA DOWNS),22/11/2024,5.0,0.0, ,35.8,23.1,53,22,0.00,28.23
WANAARING (BORRONA DOWNS),23/11/2024,4.5,0.0, ,37.9,26.0,35,19,0.00,24.98
WANAARING (BORRONA DOWNS),24/11/2024,4.7,0.0, ,39.3,27.9,32,17,0.00,26.24
WANAARING (BORRONA DOWNS),25/11/2024,3.6,0.0, ,36.0,24.4,92,31,0.00,16.79
WANAARING (BORRONA DOWNS),26/11/2024,5.4,5.0, ,38.7,22.9,95,21,0.00,27.99
WANAARING (BORRONA DOWNS),27/11/2024,3.7,3.0, ,30.4,22.1,93,55,0.00,18.07
WANAARING (BORRONA DOWNS),28/11/2024,4.5,0.2, ,32.8,19.6,96,32,0.00,24.01
WANAARING (BORRONA DOWNS),29/11/2024,4.4,0.0, ,30.9,23.0,76,48,0.00,22.85
WANAARING (BORRONA DOWNS),30/11/2024, ,0.0, ,35.5,19.5,81,14,0.00, 
Totals:,,122.1,10.8, ,,,,,, 
