'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANAARING (BORRONA DOWNS) New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANAARING (BORRONA DOWNS),01/02/2025,4.5,0.0, ,44.0,25.9,26,10,0.00,27.01
WANAARING (BORRONA DOWNS),02/02/2025,4.7,0.0, ,42.0,28.6,34,14,0.00,26.95
WANAARING (BORRONA DOWNS),03/02/2025,4.6,0.0, ,40.4,28.8,28,10,0.00,27.79
WANAARING (BORRONA DOWNS),04/02/2025,4.3,0.0, ,39.8,24.9,56,20,0.00,23.11
WANAARING (BORRONA DOWNS),05/02/2025,5.2,1.4, ,37.6,23.4,74,27,0.00,28.00
WANAARING (BORRONA DOWNS),06/02/2025,5.2,0.0, ,39.8,25.1,58,19,0.00,28.57
WANAARING (BORRONA DOWNS),07/02/2025,4.3,0.0, ,41.4,27.1,40,17,0.00,23.79
WANAARING (BORRONA DOWNS),08/02/2025,4.9,0.0, ,41.0,28.1,49,18,0.00,26.38
WANAARING (BORRONA DOWNS),09/02/2025,4.6,0.0, ,41.1,27.5,51,16,0.00,25.04
WANAARING (BORRONA DOWNS),10/02/2025,4.6,0.0, ,42.6,28.4,44,15,0.00,25.63
WANAARING (BORRONA DOWNS),11/02/2025,4.8,0.0, ,42.3,26.1,62,7,0.00,27.87
WANAARING (BORRONA DOWNS),12/02/2025,4.8, , ,41.9,27.9,43,13,0.00,27.79
WANAARING (BORRONA DOWNS),13/02/2025,4.8,0.0, ,43.7,29.7,48,11,0.00,26.46
WANAARING (BORRONA DOWNS),14/02/2025,3.5,0.0, ,33.5,26.7,50,18,0.00,19.34
WANAARING (BORRONA DOWNS),15/02/2025,4.0,0.0, ,30.6,22.0,37,12,0.00,26.49
WANAARING (BORRONA DOWNS),16/02/2025,3.8,0.0, ,27.5,18.3,33,12,0.00,27.10
WANAARING (BORRONA DOWNS),17/02/2025,3.7,0.0, ,31.2,15.4,27,9,0.00,26.95
WANAARING (BORRONA DOWNS),18/02/2025,3.6,0.0, ,34.3,13.6,27,7,0.00,26.80
WANAARING (BORRONA DOWNS),19/02/2025,3.7,0.0, ,34.7,20.7,20,9,0.00,26.66
WANAARING (BORRONA DOWNS),20/02/2025,3.8,0.0, ,33.3,19.4,30,9,0.00,26.50
WANAARING (BORRONA DOWNS),21/02/2025,3.9,0.0, ,40.0,20.8,31,8,0.00,26.39
WANAARING (BORRONA DOWNS),22/02/2025,4.2,0.0, ,39.5,27.1,34,14,0.00,25.75
WANAARING (BORRONA DOWNS),23/02/2025,3.7,0.0, ,40.3,28.9,29,14,0.00,21.75
WANAARING (BORRONA DOWNS),24/02/2025,4.1,0.0, ,41.8,27.1,27,12,0.00,25.82
WANAARING (BORRONA DOWNS),25/02/2025, ,0.0, ,42.3,27.4,25,11,0.00, 
WANAARING (BORRONA DOWNS),26/02/2025,3.4,0.0, ,43.4,27.4,29,9,0.00,20.96
WANAARING (BORRONA DOWNS),27/02/2025,3.6,0.0, ,43.3,27.8,18,7,0.00,25.34
WANAARING (BORRONA DOWNS),28/02/2025,3.7,0.0, ,43.1,28.7,18,9,0.00,25.15
Totals:,,114,1.4, ,,,,,, 
