'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANAARING (BORRONA DOWNS) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANAARING (BORRONA DOWNS),01/08/2025,1.0,10.2, ,11.1,7.8,100,75,0.00,8.34
WANAARING (BORRONA DOWNS),02/08/2025,1.3,0.6, ,15.8,6.4,95,45,0.00,15.40
WANAARING (BORRONA DOWNS),03/08/2025,1.4,0.0, ,20.2,5.3,92,40,0.00,15.52
WANAARING (BORRONA DOWNS),04/08/2025,1.5,0.0, ,21.6,7.4,96,42,0.00,15.62
WANAARING (BORRONA DOWNS),05/08/2025,1.4,0.0, ,19.9,7.3,100,26,0.00,14.78
WANAARING (BORRONA DOWNS),06/08/2025,1.4,0.0, ,18.5,5.8,89,31,0.00,15.52
WANAARING (BORRONA DOWNS),07/08/2025,1.3,0.0, ,18.8,6.5,77,31,0.00,13.74
WANAARING (BORRONA DOWNS),08/08/2025,1.3,0.0, ,15.6,10.4,92,49,0.00,11.67
WANAARING (BORRONA DOWNS),09/08/2025,1.6,1.2, ,20.0,11.4,96,44,0.00,14.19
WANAARING (BORRONA DOWNS),10/08/2025,1.6,0.0, ,22.1,13.3,75,35,0.00,14.69
WANAARING (BORRONA DOWNS),11/08/2025,1.7,0.0, ,22.7,10.9,82,30,0.00,16.47
WANAARING (BORRONA DOWNS),12/08/2025,1.7,0.0, ,24.0,9.8,76,28,0.00,16.51
WANAARING (BORRONA DOWNS),13/08/2025,1.7,0.0, ,21.0,12.6,78,32,0.00,15.94
WANAARING (BORRONA DOWNS),14/08/2025,1.6,0.0, ,19.9,7.6,84,34,0.00,16.81
WANAARING (BORRONA DOWNS),15/08/2025,1.6,0.0, ,21.3,6.6,82,27,0.00,16.57
WANAARING (BORRONA DOWNS),16/08/2025,1.6,0.0, ,17.3,10.3,54,28,0.00,17.02
WANAARING (BORRONA DOWNS),17/08/2025,1.5,0.0, ,18.5,2.3,80,29,0.00,17.10
WANAARING (BORRONA DOWNS),18/08/2025,1.2,9.6, ,11.7,8.7,95,61,0.00,10.44
WANAARING (BORRONA DOWNS),19/08/2025,1.8,4.0, ,17.4,8.0,92,38,0.00,17.30
WANAARING (BORRONA DOWNS),20/08/2025,1.8,0.2, ,18.5,7.1,91,36,0.00,17.64
WANAARING (BORRONA DOWNS),21/08/2025,1.8,0.0, ,18.5,5.6,100,45,0.00,17.77
WANAARING (BORRONA DOWNS),22/08/2025,1.9,0.0, ,20.4,6.6,99,41,0.00,17.89
WANAARING (BORRONA DOWNS),23/08/2025,2.0,0.0, ,23.3,8.8,90,27,0.00,18.04
WANAARING (BORRONA DOWNS),24/08/2025,2.0,0.0, ,23.0,10.8,78,24,0.00,18.17
WANAARING (BORRONA DOWNS),25/08/2025,1.9,0.0, ,25.0,9.8,71,14,0.00,18.29
WANAARING (BORRONA DOWNS),26/08/2025,1.9,0.0, ,31.4,14.9,36,13,0.00,18.43
WANAARING (BORRONA DOWNS),27/08/2025,1.9,0.0, ,22.2,15.3,69,16,0.00,15.71
WANAARING (BORRONA DOWNS),28/08/2025,1.8,0.0, ,20.6,7.2,73,16,0.00,18.19
WANAARING (BORRONA DOWNS),29/08/2025,1.9,0.0, ,21.6,7.7,74,19,0.00,18.52
WANAARING (BORRONA DOWNS),30/08/2025,1.9,0.0, ,16.7,7.3,68,25,0.00,18.95
WANAARING (BORRONA DOWNS),31/08/2025,1.9,0.0, ,17.4,5.3,63,31,0.00,19.13
Totals:,,50.9,25.8, ,,,,,, 
