'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST WYALONG AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST WYALONG AIRPORT,01/11/2024,6.5,0.0, ,26.6,5.6,79,12,3.63,27.27
WEST WYALONG AIRPORT,02/11/2024,6.7,0.0, ,30.9,8.5,92,17,3.22,27.29
WEST WYALONG AIRPORT,03/11/2024,8.1,0.0, ,35.0,15.1,66,8,4.34,18.16
WEST WYALONG AIRPORT,04/11/2024,6.5,0.0, ,29.4,19.1,44,21,3.51,19.49
WEST WYALONG AIRPORT,05/11/2024,6.5,0.0, ,32.2,7.7,72,14,2.34,26.92
WEST WYALONG AIRPORT,06/11/2024,8.1,0.0, ,37.6,11.5,62,14,3.82,19.30
WEST WYALONG AIRPORT,07/11/2024,4.2,0.0, ,25.9,20.8,95,31,4.14,11.42
WEST WYALONG AIRPORT,08/11/2024,6.7,5.6, ,26.4,10.5,95,19,5.06,26.64
WEST WYALONG AIRPORT,09/11/2024,6.0,0.0, ,28.6,7.0,88,15,2.86,24.23
WEST WYALONG AIRPORT,10/11/2024,7.1,0.0, ,29.6,15.0,60,15,3.29,28.22
WEST WYALONG AIRPORT,11/11/2024,4.2,0.0, ,26.5,13.8,75,35,2.71,13.59
WEST WYALONG AIRPORT,12/11/2024,5.3,0.0, ,30.2,12.2,92,24,2.30,21.40
WEST WYALONG AIRPORT,13/11/2024,5.9,1.2, ,30.6,15.4,87,28,3.61,19.98
WEST WYALONG AIRPORT,14/11/2024,7.8,0.0, ,28.8,12.9,75,9,4.52,28.52
WEST WYALONG AIRPORT,15/11/2024,7.1,0.0, ,32.9,10.8,92,8,2.67,28.52
WEST WYALONG AIRPORT,16/11/2024,9.2,0.0, ,36.2,15.3,77,18,4.89,27.85
WEST WYALONG AIRPORT,17/11/2024,4.3,0.0, ,28.6,22.7,97,46,6.86,8.15
WEST WYALONG AIRPORT,18/11/2024,6.6,13.8, ,25.9,11.0,84,24,4.54,28.98
WEST WYALONG AIRPORT,19/11/2024,6.5,0.0, ,28.6,7.8,88,15,2.94,29.07
WEST WYALONG AIRPORT,20/11/2024,6.1,0.0, ,31.5,11.0,93,23,2.12,27.17
WEST WYALONG AIRPORT,21/11/2024,7.9,0.0, ,32.3,15.7,66,22,4.05,28.48
WEST WYALONG AIRPORT,22/11/2024,6.9,0.0, ,34.6,14.4,65,19,2.30,27.43
WEST WYALONG AIRPORT,23/11/2024,8.2,0.0, ,36.5,16.7,65,14,3.31,26.47
WEST WYALONG AIRPORT,24/11/2024,9.6,0.0, ,38.2,19.8,55,12,4.34,26.55
WEST WYALONG AIRPORT,25/11/2024,9.0,0.0, ,38.2,16.9,77,14,4.20,25.22
WEST WYALONG AIRPORT,26/11/2024,4.5,0.0, ,32.2,18.8,83,35,3.09,10.46
WEST WYALONG AIRPORT,27/11/2024,2.9,2.2, ,25.7,21.2,95,64,4.27,9.22
WEST WYALONG AIRPORT,28/11/2024,7.4,10.6, ,34.0,20.3,90,25,3.29,27.69
WEST WYALONG AIRPORT,29/11/2024,5.8,0.0, ,32.0,19.8,96,33,3.87,18.35
WEST WYALONG AIRPORT,30/11/2024, ,50.2, ,28.6,19.1,97,49,3.00, 
Totals:,,191.6,83.6, ,,,,,, 
