'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST WYALONG AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST WYALONG AIRPORT,01/07/2025,1.9,0.2, ,13.9,2.4,98,50,5.84,10.96
WEST WYALONG AIRPORT,02/07/2025,2.2,0.0, ,15.6,4.5,91,58,8.20,10.94
WEST WYALONG AIRPORT,03/07/2025,1.7,0.0, ,14.9,4.9,96,55,4.74,10.07
WEST WYALONG AIRPORT,04/07/2025,1.3,0.0, ,16.2,1.3,100,55,1.95,10.91
WEST WYALONG AIRPORT,05/07/2025,0.8,0.2, ,11.8,-0.3,100,70,1.60,5.93
WEST WYALONG AIRPORT,06/07/2025,1.9,0.0, ,18.2,3.5,99,44,3.28,9.44
WEST WYALONG AIRPORT,07/07/2025,1.3,1.6, ,15.5,4.3,97,62,2.55,10.45
WEST WYALONG AIRPORT,08/07/2025,1.7,0.0, ,15.9,2.5,100,47,3.31,7.23
WEST WYALONG AIRPORT,09/07/2025,1.4,0.0, ,14.8,7.2,90,39,1.84,8.39
WEST WYALONG AIRPORT,10/07/2025,1.8,0.2, ,11.5,6.7,88,59,7.48,8.50
WEST WYALONG AIRPORT,11/07/2025,1.6,0.2, ,16.0,3.6,95,60,3.64,9.79
WEST WYALONG AIRPORT,12/07/2025,1.5,0.0, ,15.3,4.1,97,53,2.74,9.55
WEST WYALONG AIRPORT,13/07/2025,1.6,0.0, ,17.5,-0.9,99,43,2.23,10.02
WEST WYALONG AIRPORT,14/07/2025,1.7,0.0, ,13.8,3.2,93,43,2.95,11.70
WEST WYALONG AIRPORT,15/07/2025, ,0.0, ,13.8,0.4,93,49,2.39, 
WEST WYALONG AIRPORT,16/07/2025,1.4,0.2, ,14.7,0.4,99,43,1.77,11.90
WEST WYALONG AIRPORT,17/07/2025,1.3,0.0, ,15.0,-1.5,98,43,1.59,11.47
WEST WYALONG AIRPORT,18/07/2025,1.7,0.0, ,16.1,-0.3,94,44,2.37,11.95
WEST WYALONG AIRPORT,19/07/2025,1.4,0.0, ,16.0,-2.0,98,37,1.52,11.92
WEST WYALONG AIRPORT,20/07/2025,1.3,0.0, ,16.2,-2.8,97,36,1.24,12.14
WEST WYALONG AIRPORT,21/07/2025,2.4,0.0, ,20.0,-2.2,98,40,3.26,12.22
WEST WYALONG AIRPORT,22/07/2025,1.9,0.0, ,16.7,6.8,98,58,5.89,5.80
WEST WYALONG AIRPORT,23/07/2025,1.6,8.2, ,13.6,2.3,96,52,3.23,11.95
WEST WYALONG AIRPORT,24/07/2025,1.4,0.0, ,13.9,-0.2,98,43,1.76,12.34
WEST WYALONG AIRPORT,25/07/2025,1.2,0.0, ,10.8,-2.7,98,52,2.64,5.90
WEST WYALONG AIRPORT,26/07/2025,1.5,6.2, ,13.7,2.0,95,69,6.06,7.34
WEST WYALONG AIRPORT,27/07/2025,1.0,5.8, ,12.0,9.0,97,83,5.03,7.48
WEST WYALONG AIRPORT,28/07/2025,0.9,2.2, ,10.3,7.6,97,83,4.71,6.69
WEST WYALONG AIRPORT,29/07/2025,1.3,0.6, ,14.6,5.7,97,52,1.39,9.57
WEST WYALONG AIRPORT,30/07/2025,1.2,0.6, ,11.6,6.6,97,65,2.67,7.91
WEST WYALONG AIRPORT,31/07/2025,1.7,0.2, ,15.5,3.0,96,44,2.24,13.25
Totals:,,45.6,26.4, ,,,,,, 
