'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WHITE CLIFFS New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WHITE CLIFFS,01/01/2025,12.7,0.0, ,38.8,22.3,22,9,6.07,31.66
WHITE CLIFFS,02/01/2025,12.3,0.0, ,35.8,22.5,27,9,6.63,31.62
WHITE CLIFFS,03/01/2025,10.0,0.0, ,39.3,19.4,21,8,3.54,31.51
WHITE CLIFFS,04/01/2025,11.8,0.0, ,40.8,27.5,24,10,5.06,28.74
WHITE CLIFFS,05/01/2025,11.6,0.0, ,40.3,30.3,25,11,5.54,21.73
WHITE CLIFFS,06/01/2025,12.6,0.0, ,40.6,29.4,48,12,7.84,18.19
WHITE CLIFFS,07/01/2025,10.5,0.0, ,35.2,21.5,69,22,6.85,31.15
WHITE CLIFFS,08/01/2025,9.9,0.0, ,36.4,22.6,54,16,4.57,30.99
WHITE CLIFFS,09/01/2025,9.9,0.0, ,37.2,25.2,37,15,4.79,24.09
WHITE CLIFFS,10/01/2025,10.1,0.0, ,39.5,22.5,30,10,3.86,29.28
WHITE CLIFFS,11/01/2025,10.1,0.0, ,39.7,24.2,27,9,3.87,28.35
WHITE CLIFFS,12/01/2025,10.5,0.0, ,42.6,25.3,34,8,3.95,26.41
WHITE CLIFFS,13/01/2025,11.1,0.0, ,43.4,25.9,31,8,3.92,31.04
WHITE CLIFFS,14/01/2025,11.4,0.0, ,44.7,27.4,25,7,3.96,30.89
WHITE CLIFFS,15/01/2025,12.9,0.0, ,39.2,29.2,37,8,7.62,20.32
WHITE CLIFFS,16/01/2025,11.3,0.0, ,30.7,17.7,38,11,8.25,30.68
WHITE CLIFFS,17/01/2025,12.0,0.0, ,34.3,19.5,35,13,7.69,30.59
WHITE CLIFFS,18/01/2025,11.8,0.0, ,36.1,18.7,30,9,6.29,30.47
WHITE CLIFFS,19/01/2025,10.7,0.0, ,37.8,24.7,44,13,4.91,30.42
WHITE CLIFFS,20/01/2025,10.4,0.0, ,41.7,24.4,27,8,3.70,29.82
WHITE CLIFFS,21/01/2025,13.0,0.0, ,43.6,30.1,18,7,5.79,24.13
WHITE CLIFFS,22/01/2025,13.0,0.0, ,39.9,27.5,33,14,6.71,30.04
WHITE CLIFFS,23/01/2025,10.6,0.0, ,36.2,23.6,28,14,5.38,26.25
WHITE CLIFFS,24/01/2025,10.6,0.0, ,31.4,19.0,37,15,7.05,29.94
WHITE CLIFFS,25/01/2025,10.6,0.0, ,37.6,18.9,30,9,4.72,29.75
WHITE CLIFFS,26/01/2025,11.1,0.0, ,40.1,24.4,28,9,4.67,29.71
WHITE CLIFFS,27/01/2025,13.8,0.0, ,45.2,24.9,33,11,6.41,26.29
WHITE CLIFFS,28/01/2025,12.1,0.0, ,40.3,26.9,51,15,6.30,29.48
WHITE CLIFFS,29/01/2025,12.8,0.0, ,37.4,24.3,24,9,6.92,29.34
WHITE CLIFFS,30/01/2025,11.7,0.0, ,36.1,20.0,26,8,6.41,27.33
WHITE CLIFFS,31/01/2025,12.0,0.0, ,37.5,19.6,23,6,6.07,29.10
Totals:,,354.9,0, ,,,,,, 
