'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/11/2024,7.5,0.0, ,29.9,8.7,58,15,3.90,28.26
WILCANNIA AERODROME,02/11/2024,8.0,0.0, ,33.6,7.7,53,9,3.43,28.00
WILCANNIA AERODROME,03/11/2024,12.1,0.0, ,40.8,20.9,25,7,5.63,26.24
WILCANNIA AERODROME,04/11/2024,8.5,0.0, ,32.5,21.2,35,16,4.73,21.43
WILCANNIA AERODROME,05/11/2024,8.6,0.0, ,36.9,14.7,44,12,3.33,28.32
WILCANNIA AERODROME,06/11/2024,15.1,0.0, ,45.0,24.7,25,9,7.61,24.02
WILCANNIA AERODROME,07/11/2024,6.4,0.0, ,29.2,21.7,81,17,5.81,11.66
WILCANNIA AERODROME,08/11/2024,7.4,0.2, ,30.4,10.5,89,16,4.01,29.15
WILCANNIA AERODROME,09/11/2024,7.0,0.0, ,29.7,11.1,54,15,3.70,23.67
WILCANNIA AERODROME,10/11/2024,7.3,0.0, ,32.3,14.2,39,14,3.09,25.08
WILCANNIA AERODROME,11/11/2024,6.1,0.0, ,31.2,20.9,56,23,3.64,14.96
WILCANNIA AERODROME,12/11/2024,7.0,0.8, ,33.5,17.0,91,24,3.83,23.97
WILCANNIA AERODROME,13/11/2024,9.1,0.2, ,32.0,18.4,64,21,6.04,29.04
WILCANNIA AERODROME,14/11/2024,8.5,0.0, ,30.8,12.8,53,15,4.70,29.75
WILCANNIA AERODROME,15/11/2024,8.6,0.0, ,34.2,9.8,40,7,3.53,29.80
WILCANNIA AERODROME,16/11/2024,12.1,0.0, ,40.5,12.7,45,11,5.63,29.81
WILCANNIA AERODROME,17/11/2024,10.2,0.4, ,34.5,27.2,44,25,7.67,17.60
WILCANNIA AERODROME,18/11/2024,8.7,0.0, ,28.8,16.5,41,14,5.23,28.81
WILCANNIA AERODROME,19/11/2024,9.1,0.0, ,32.9,10.8,45,11,4.50,30.10
WILCANNIA AERODROME,20/11/2024,9.6,0.0, ,35.6,15.7,34,9,4.12,30.18
WILCANNIA AERODROME,21/11/2024, ,0.0, , ,20.3,62,16,5.25,28.55
WILCANNIA AERODROME,22/11/2024, , , ,36.8, ,45,13,4.99,29.26
WILCANNIA AERODROME,23/11/2024,9.7,0.0, ,38.7,20.8,36,15,4.32,25.03
WILCANNIA AERODROME,24/11/2024,10.3,0.0, ,39.6,24.0,54,14,5.39,22.04
WILCANNIA AERODROME,25/11/2024,5.4,0.0, ,32.2,22.4,83,35,4.21,12.76
WILCANNIA AERODROME,26/11/2024,9.3,0.2, ,38.0,20.9,91,23,5.47,26.16
WILCANNIA AERODROME,27/11/2024,8.3,14.2, ,35.4,20.9,92,28,5.27,26.36
WILCANNIA AERODROME,28/11/2024,7.5,0.2, ,32.6,16.4,76,24,3.42,29.10
WILCANNIA AERODROME,29/11/2024,7.0,0.0, ,34.3,20.5,87,25,4.23,20.07
WILCANNIA AERODROME,30/11/2024, ,7.2, ,33.7,18.8,93,22,3.71, 
Totals:,,234.4,23.4, ,,,,,, 
