'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/02/2025,11.8,0.0, ,44.2,22.9,35,13,5.00,26.75
WILCANNIA AERODROME,02/02/2025,11.5,0.0, ,42.2,27.3,41,15,5.34,25.90
WILCANNIA AERODROME,03/02/2025,10.8,0.0, ,41.5,24.1,59,12,4.85,28.02
WILCANNIA AERODROME,04/02/2025,10.4,0.0, ,41.4,24.0,45,12,4.37,27.32
WILCANNIA AERODROME,05/02/2025,9.7,0.0, ,40.0,25.3,61,16,4.18,28.38
WILCANNIA AERODROME,06/02/2025,9.6,0.0, ,41.3,27.3,47,14,3.65,27.34
WILCANNIA AERODROME,07/02/2025,9.0,0.0, ,41.8,26.8,48,15,4.28,16.90
WILCANNIA AERODROME,08/02/2025,9.5,5.0, ,39.8,25.3,67,18,4.19,27.68
WILCANNIA AERODROME,09/02/2025,7.7,0.0, ,38.9,22.3,62,23,3.21,22.91
WILCANNIA AERODROME,10/02/2025,9.5,4.2, ,39.7,22.9,70,10,4.09,27.73
WILCANNIA AERODROME,11/02/2025,8.9,0.0, ,39.7,20.2,80,12,3.58,27.80
WILCANNIA AERODROME,12/02/2025,9.5,0.0, ,41.0,23.6,50,14,3.71,27.66
WILCANNIA AERODROME,13/02/2025,11.0,0.0, ,43.0,26.6,56,14,5.37,23.21
WILCANNIA AERODROME,14/02/2025,9.5,1.2, ,32.7,23.9,57,16,7.12,20.07
WILCANNIA AERODROME,15/02/2025,8.9,0.0, ,27.7,17.8,46,16,6.76,26.98
WILCANNIA AERODROME,16/02/2025,8.1,0.0, ,26.3,14.1,36,13,5.54,26.99
WILCANNIA AERODROME,17/02/2025,7.7,0.0, ,29.9,11.4,35,12,3.95,26.83
WILCANNIA AERODROME,18/02/2025,8.9,0.0, ,34.5,12.5,29,9,4.19,26.63
WILCANNIA AERODROME,19/02/2025,8.8,0.0, ,31.2,13.6,36,11,5.12,26.47
WILCANNIA AERODROME,20/02/2025,9.0,0.0, ,31.8,17.3,45,11,5.28,26.30
WILCANNIA AERODROME,21/02/2025,8.7,0.0, ,39.4,14.0,36,11,3.28,26.04
WILCANNIA AERODROME,22/02/2025,11.8,0.0, ,40.8,24.5,38,14,6.44,22.36
WILCANNIA AERODROME,23/02/2025,11.7,0.0, ,42.4,27.8,27,12,5.64,22.54
WILCANNIA AERODROME,24/02/2025,10.3,0.0, ,37.7,23.2,31,14,5.24,25.54
WILCANNIA AERODROME,25/02/2025, ,0.0, ,42.1,22.2,26,11,3.66, 
WILCANNIA AERODROME,26/02/2025,10.4,0.0, ,43.2,23.8,27,8,4.16,25.13
WILCANNIA AERODROME,27/02/2025,9.8,0.0, ,42.5,20.1,21,7,3.75,25.04
WILCANNIA AERODROME,28/02/2025,9.3,0.0, ,41.2,23.0,27,12,3.95,22.25
Totals:,,261.8,10.4, ,,,,,, 
