'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/04/2025,5.2,0.0, ,29.2,16.7,71,26,3.87,15.58
WILCANNIA AERODROME,02/04/2025,4.5,0.0, ,29.4,14.8,84,22,2.56,17.15
WILCANNIA AERODROME,03/04/2025,5.3,0.0, ,27.8,14.0,76,26,3.92,19.48
WILCANNIA AERODROME,04/04/2025,4.6,0.0, ,26.2,11.5,77,27,3.30,18.25
WILCANNIA AERODROME,05/04/2025,4.4,0.0, ,23.8,10.7,75,28,3.49,19.13
WILCANNIA AERODROME,06/04/2025,4.9,0.0, ,29.0,9.3,76,17,2.90,18.99
WILCANNIA AERODROME,07/04/2025,4.9,0.0, ,26.6,11.5,68,30,3.83,18.87
WILCANNIA AERODROME,08/04/2025,4.3,0.0, ,25.2,8.5,80,24,2.96,18.70
WILCANNIA AERODROME,09/04/2025,4.9,0.0, ,28.0,8.4,76,19,3.19,18.55
WILCANNIA AERODROME,10/04/2025,4.9,0.0, ,30.9,12.5,65,16,2.59,18.17
WILCANNIA AERODROME,11/04/2025,5.4,0.0, ,32.9,12.2,59,15,2.78,18.23
WILCANNIA AERODROME,12/04/2025,5.5,0.0, ,33.4,15.4,61,17,3.03,17.11
WILCANNIA AERODROME,13/04/2025,5.3,0.0, ,32.4,15.8,58,27,3.24,17.07
WILCANNIA AERODROME,14/04/2025,4.9,0.0, ,32.4,16.8,67,24,2.79,16.96
WILCANNIA AERODROME,15/04/2025,4.5,0.0, ,31.8,15.3,60,23,2.31,17.57
WILCANNIA AERODROME,16/04/2025,5.0,0.0, ,32.3,16.1,64,21,2.94,15.97
WILCANNIA AERODROME,17/04/2025,4.8,0.0, ,31.1,14.7,67,21,2.85,17.23
WILCANNIA AERODROME,18/04/2025,5.8,0.0, ,31.7,13.0,59,14,3.64,17.04
WILCANNIA AERODROME,19/04/2025,6.5,0.0, ,31.6,13.5,49,14,4.38,16.89
WILCANNIA AERODROME,20/04/2025,5.9,0.0, ,27.1,20.0,51,26,5.12,16.76
WILCANNIA AERODROME,21/04/2025,4.3,0.0, ,22.5,12.7,70,41,5.75,15.38
WILCANNIA AERODROME,22/04/2025,4.6,0.0, ,24.4,11.3,83,32,5.26,16.45
WILCANNIA AERODROME,23/04/2025,4.4,0.0, ,27.7,11.2,71,34,3.70,16.32
WILCANNIA AERODROME,24/04/2025,4.6,0.0, ,29.9,13.9,72,30,3.45,15.96
WILCANNIA AERODROME,25/04/2025,4.4,0.0, ,29.2,15.6,86,35,4.10,13.87
WILCANNIA AERODROME,26/04/2025,2.5,35.2, ,22.0,15.5,96,61,3.96,11.76
WILCANNIA AERODROME,27/04/2025,1.9,0.0, ,20.0,15.1,94,68,4.12,6.42
WILCANNIA AERODROME,28/04/2025,3.2,0.2, ,22.6,12.5,92,44,3.67,15.64
WILCANNIA AERODROME,29/04/2025,3.1,0.0, ,22.1,9.9,92,43,3.90,14.56
WILCANNIA AERODROME,30/04/2025,3.3,0.2, ,20.9,8.9,89,43,4.77,15.28
Totals:,,137.8,35.6, ,,,,,, 
