'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILLIAMTOWN RAAF New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILLIAMTOWN RAAF,01/11/2024,4.4,1.0, ,23.1,15.5,95,62,4.09,24.90
WILLIAMTOWN RAAF,02/11/2024,4.6,0.6, ,23.7,17.1,90,57,5.34,22.45
WILLIAMTOWN RAAF,03/11/2024,6.4,0.2, ,33.1,15.3,90,34,3.57,23.53
WILLIAMTOWN RAAF,04/11/2024,3.0,0.0, ,25.3,21.5,92,64,4.00,9.56
WILLIAMTOWN RAAF,05/11/2024,3.4,4.6, ,23.5,18.7,94,70,4.75,16.36
WILLIAMTOWN RAAF,06/11/2024,5.5,0.0, ,30.5,17.0,95,53,3.03,25.65
WILLIAMTOWN RAAF,07/11/2024,6.2,0.0, ,37.7,19.8,95,30,2.98,19.14
WILLIAMTOWN RAAF,08/11/2024,6.1,25.6, ,28.8,17.5,95,46,3.73,29.09
WILLIAMTOWN RAAF,09/11/2024,6.3,0.2, ,26.7,15.2,92,37,4.72,29.15
WILLIAMTOWN RAAF,10/11/2024,4.9,0.0, ,26.1,16.8,95,62,5.38,25.33
WILLIAMTOWN RAAF,11/11/2024,2.8,0.0, ,23.5,18.8,96,72,4.61,11.62
WILLIAMTOWN RAAF,12/11/2024,2.1,14.4, ,21.9,17.2,97,79,1.88,9.50
WILLIAMTOWN RAAF,13/11/2024,3.8,8.4, ,24.5,17.8,97,69,2.42,19.91
WILLIAMTOWN RAAF,14/11/2024,3.9,5.4, ,24.0,15.6,96,70,5.42,21.57
WILLIAMTOWN RAAF,15/11/2024,2.7,0.0, ,22.2,19.1,83,69,4.11,8.63
WILLIAMTOWN RAAF,16/11/2024,4.1,3.8, ,25.2,19.1,93,69,4.72,20.31
WILLIAMTOWN RAAF,17/11/2024,6.4,0.0, ,31.2,18.4,91,48,4.39,26.73
WILLIAMTOWN RAAF,18/11/2024,3.2,4.0, ,24.5,19.4,95,63,3.15,13.56
WILLIAMTOWN RAAF,19/11/2024,4.4,4.0, ,23.2,16.8,81,58,4.30,20.09
WILLIAMTOWN RAAF,20/11/2024,5.2,0.0, ,24.6,13.7,92,48,3.82,26.36
WILLIAMTOWN RAAF,21/11/2024, ,0.0, , ,12.7,94,49,3.37,26.38
WILLIAMTOWN RAAF,22/11/2024, , , ,27.3, ,94,52,3.83,28.88
WILLIAMTOWN RAAF,23/11/2024, ,0.0, , ,13.5,92,38,3.43,30.66
WILLIAMTOWN RAAF,24/11/2024, , , , , ,92,31,3.58,29.94
WILLIAMTOWN RAAF,25/11/2024, , , , ,16.5,88,44,4.24,30.58
WILLIAMTOWN RAAF,26/11/2024,7.9, , ,35.3,18.3,89,40,4.08,30.89
WILLIAMTOWN RAAF,27/11/2024,7.5,0.0, ,37.0,21.0,86,29,3.33,25.87
WILLIAMTOWN RAAF,28/11/2024,2.7,0.0, ,27.7,23.5,89,64,2.64,7.98
WILLIAMTOWN RAAF,29/11/2024,1.9,0.2, ,23.3,20.5,96,86,3.41,7.79
WILLIAMTOWN RAAF,30/11/2024, ,1.4, ,27.6,20.8,96,65,3.90, 
Totals:,,109.4,73.8, ,,,,,, 
