'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMBA PILOT STATION New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMBA PILOT STATION,01/05/2025, ,0.0, , ,14.8,84,52,4.89,16.01
YAMBA PILOT STATION,02/05/2025, , , ,20.5, ,95,73,4.79,10.54
YAMBA PILOT STATION,03/05/2025,2.1,74.8, ,21.7,14.7,96,75,4.21,11.70
YAMBA PILOT STATION,04/05/2025,2.4,8.8, ,23.1,16.0,96,69,4.40,11.92
YAMBA PILOT STATION,05/05/2025,2.4,7.2, ,23.3,17.7,96,67,3.50,12.85
YAMBA PILOT STATION,06/05/2025,2.3,11.8, ,22.7,16.0,98,71,2.97,14.61
YAMBA PILOT STATION,07/05/2025,2.5,0.0, ,23.4,15.3,97,64,2.54,15.46
YAMBA PILOT STATION,08/05/2025,3.5,0.2, ,24.9,15.3,95,53,5.73,15.35
YAMBA PILOT STATION,09/05/2025,2.8,2.0, ,20.6,17.8,94,59,7.47,10.21
YAMBA PILOT STATION,10/05/2025,3.2,11.6, ,22.2,16.3,91,61,7.99,13.06
YAMBA PILOT STATION,11/05/2025,2.8,1.6, ,22.8,18.1,93,64,5.60,13.10
YAMBA PILOT STATION,12/05/2025,2.6,10.6, ,22.9,18.0,93,66,4.92,11.78
YAMBA PILOT STATION,13/05/2025,2.0,12.2, ,22.6,18.4,95,75,4.68,9.28
YAMBA PILOT STATION,14/05/2025, ,7.0, , ,17.3,96,69,3.11,11.47
YAMBA PILOT STATION,15/05/2025, , , ,21.1, ,96,75,5.54,8.60
YAMBA PILOT STATION,16/05/2025,2.0,4.2, ,22.9,16.5,96,67,2.16,11.38
YAMBA PILOT STATION,17/05/2025,1.8,18.6, ,21.9,17.2,96,77,2.48,11.78
YAMBA PILOT STATION,18/05/2025,2.2,0.4, ,21.7,15.0,96,68,4.56,11.23
YAMBA PILOT STATION,19/05/2025,1.9,1.6, ,19.4,14.2,89,61,3.20,7.07
YAMBA PILOT STATION,20/05/2025, ,0.0, , ,13.0,98,72,2.88,13.87
YAMBA PILOT STATION,21/05/2025,1.4, , ,22.7,16.8,97,84,4.01,7.43
YAMBA PILOT STATION,22/05/2025,1.9,146.2, ,22.8,16.5,98,77,2.62,12.56
YAMBA PILOT STATION,23/05/2025,2.3,0.2, ,24.6,16.5,97,67,2.83,13.85
YAMBA PILOT STATION,24/05/2025,2.5,0.4, ,23.8,14.9,93,50,2.49,13.82
YAMBA PILOT STATION,25/05/2025,2.1,0.4, ,22.7,13.5,95,59,3.11,9.22
YAMBA PILOT STATION,26/05/2025,2.0,0.0, ,23.0,14.8,95,72,2.93,12.25
YAMBA PILOT STATION,27/05/2025,3.5,0.0, ,26.4,17.9,96,43,5.02,11.54
YAMBA PILOT STATION,28/05/2025,2.8,0.0, ,22.0,11.8,86,36,3.02,13.60
YAMBA PILOT STATION,29/05/2025,2.2,0.0, ,20.8,12.6,83,53,2.59,12.11
YAMBA PILOT STATION,30/05/2025,1.8,0.0, ,20.9,15.1,97,72,4.89,7.73
YAMBA PILOT STATION,31/05/2025,2.8,69.6, ,22.5,16.3,94,55,6.31,9.13
Totals:,,61.8,389.4, ,,,,,, 
