'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/09/2024,4.5,0.0, ,22.3,7.5,76,27,4.79,17.35
YANCO AGRICULTURAL INSTITUTE,02/09/2024,3.9,0.2, ,16.3,10.4,88,32,7.85,16.70
YANCO AGRICULTURAL INSTITUTE,03/09/2024,2.6,0.0, ,17.1,3.3,92,41,2.24,17.65
YANCO AGRICULTURAL INSTITUTE,04/09/2024,3.9,0.0, ,22.2,4.4,89,27,3.52,17.82
YANCO AGRICULTURAL INSTITUTE,05/09/2024,5.5,0.0, ,27.6,12.4,67,30,5.24,15.85
YANCO AGRICULTURAL INSTITUTE,06/09/2024, ,0.0, , ,15.3,70,21,6.39,18.00
YANCO AGRICULTURAL INSTITUTE,07/09/2024,3.4, , ,20.8,12.1,96,31,2.88,17.84
YANCO AGRICULTURAL INSTITUTE,08/09/2024,3.2,0.2, ,20.7,7.3,87,31,2.41,17.13
YANCO AGRICULTURAL INSTITUTE,09/09/2024,2.6,0.0, ,19.3,6.1,83,45,2.17,13.88
YANCO AGRICULTURAL INSTITUTE,10/09/2024,2.7,0.0, ,21.5,6.0,96,38,1.20,18.75
YANCO AGRICULTURAL INSTITUTE,11/09/2024,3.6,0.0, ,23.9,8.3,87,33,2.89,15.90
YANCO AGRICULTURAL INSTITUTE,12/09/2024,2.6,3.2, ,19.3,10.8,99,52,4.21,10.93
YANCO AGRICULTURAL INSTITUTE,13/09/2024,3.1,0.0, ,19.8,3.3,97,32,2.04,19.35
YANCO AGRICULTURAL INSTITUTE,14/09/2024,3.3,0.0, ,18.9,3.9,99,40,4.04,17.94
YANCO AGRICULTURAL INSTITUTE,15/09/2024,3.4,0.0, ,16.3,-0.2,93,27,3.83,19.75
YANCO AGRICULTURAL INSTITUTE,16/09/2024,3.4,0.0, ,18.0,-0.6,99,37,4.33,19.75
YANCO AGRICULTURAL INSTITUTE,17/09/2024,3.3,0.0, ,19.9,4.1,99,31,2.31,20.03
YANCO AGRICULTURAL INSTITUTE,18/09/2024,5.0,0.0, ,23.8,4.5,79,13,3.81,20.15
YANCO AGRICULTURAL INSTITUTE,19/09/2024,4.5,0.0, ,22.5,5.4,66,23,3.54,18.89
YANCO AGRICULTURAL INSTITUTE,20/09/2024,3.5,0.0, ,20.6,4.2,90,37,3.20,17.80
YANCO AGRICULTURAL INSTITUTE,21/09/2024,3.5,0.0, ,20.0,6.4,87,39,3.39,17.34
YANCO AGRICULTURAL INSTITUTE,22/09/2024,3.5,0.0, ,22.0,6.0,84,34,2.08,19.23
YANCO AGRICULTURAL INSTITUTE,23/09/2024,4.2,0.0, ,25.4,7.7,81,27,2.28,20.92
YANCO AGRICULTURAL INSTITUTE,24/09/2024,5.6,0.0, ,29.4,10.8,88,14,3.91,15.34
YANCO AGRICULTURAL INSTITUTE,25/09/2024,1.5,3.4, ,17.3,14.2,99,80,2.88,6.91
YANCO AGRICULTURAL INSTITUTE,26/09/2024,2.2,15.0, ,15.3,9.1,99,56,3.59,10.82
YANCO AGRICULTURAL INSTITUTE,27/09/2024,3.5,1.2, ,19.8,3.7,96,34,2.27,21.91
YANCO AGRICULTURAL INSTITUTE,28/09/2024,4.2,0.0, ,21.9,6.4,85,35,3.41,21.96
YANCO AGRICULTURAL INSTITUTE,29/09/2024,3.3,0.0, ,22.2,8.9,97,48,3.19,16.32
YANCO AGRICULTURAL INSTITUTE,30/09/2024,3.8,0.0, ,21.0,8.7,99,35,2.64,21.80
Totals:,,103.3,23.2, ,,,,,, 
