'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/10/2024, ,0.2, , ,7.0,92,32,2.45,22.29
YANCO AGRICULTURAL INSTITUTE,02/10/2024,4.2, , ,25.4,5.7,96,28,2.16,22.12
YANCO AGRICULTURAL INSTITUTE,03/10/2024,5.5,0.0, ,27.1,9.5,88,26,3.98,22.75
YANCO AGRICULTURAL INSTITUTE,04/10/2024, ,0.0, , ,14.7,93,40,5.33,11.57
YANCO AGRICULTURAL INSTITUTE,05/10/2024, , , , , ,97,36,2.18,20.27
YANCO AGRICULTURAL INSTITUTE,06/10/2024,4.1, , ,23.3,8.6,91,41,3.33,20.08
YANCO AGRICULTURAL INSTITUTE,07/10/2024, ,0.0, , ,8.7,88,29,3.36,21.17
YANCO AGRICULTURAL INSTITUTE,08/10/2024, , , , , ,91,26,3.92,23.01
YANCO AGRICULTURAL INSTITUTE,09/10/2024, , , , , ,89,25,2.95,23.73
YANCO AGRICULTURAL INSTITUTE,10/10/2024, , , , , ,78,27,2.96,23.98
YANCO AGRICULTURAL INSTITUTE,11/10/2024, , , , , ,71,14,3.94,22.22
YANCO AGRICULTURAL INSTITUTE,12/10/2024, , , , , ,92,23,3.12,23.88
YANCO AGRICULTURAL INSTITUTE,13/10/2024, , , , , ,68,17,3.62,23.74
YANCO AGRICULTURAL INSTITUTE,14/10/2024, , , , , ,64,18,3.50,22.48
YANCO AGRICULTURAL INSTITUTE,15/10/2024, , , ,27.4, ,83,35,6.02,20.15
YANCO AGRICULTURAL INSTITUTE,16/10/2024, ,3.2, , ,12.1,86,48,4.08,19.56
YANCO AGRICULTURAL INSTITUTE,17/10/2024, , , , , ,95,33,3.96,20.19
YANCO AGRICULTURAL INSTITUTE,18/10/2024, , , , , ,100,45,5.96,12.20
YANCO AGRICULTURAL INSTITUTE,19/10/2024, , , , , ,85,39,5.98,23.63
YANCO AGRICULTURAL INSTITUTE,20/10/2024, , , , , ,96,26,2.48,25.65
YANCO AGRICULTURAL INSTITUTE,21/10/2024,5.7, , ,30.1,10.7,95,23,2.40,25.87
YANCO AGRICULTURAL INSTITUTE,22/10/2024, ,0.0, , ,14.3,67,17,2.59,24.28
YANCO AGRICULTURAL INSTITUTE,23/10/2024, , , , , ,65,37,2.89,13.26
YANCO AGRICULTURAL INSTITUTE,24/10/2024, , , ,22.1, ,75,24,5.37,25.40
YANCO AGRICULTURAL INSTITUTE,25/10/2024,5.5,0.0, ,21.4,4.6,82,21,4.65,26.44
YANCO AGRICULTURAL INSTITUTE,26/10/2024,4.6,0.0, ,24.8,5.2,76,15,1.50,26.19
YANCO AGRICULTURAL INSTITUTE,27/10/2024,5.8,0.0, ,29.6,12.1,59,15,2.04,25.94
YANCO AGRICULTURAL INSTITUTE,28/10/2024,7.1,0.0, ,27.5,12.4,76,17,4.88,26.82
YANCO AGRICULTURAL INSTITUTE,29/10/2024,6.6,0.0, ,28.7,7.8,81,15,3.44,26.82
YANCO AGRICULTURAL INSTITUTE,30/10/2024,6.1,0.0, ,29.3,9.9,74,15,2.48,27.02
YANCO AGRICULTURAL INSTITUTE,31/10/2024,5.7,0.0, ,27.9,11.2,60,20,3.48,17.29
Totals:,,60.9,3.4, ,,,,,, 
