'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/11/2024,5.2,0.0, ,24.4,0.9,93,16,2.48,27.34
YOUNG AIRPORT,02/11/2024,5.9,0.0, ,27.8,5.8,81,26,3.16,26.79
YOUNG AIRPORT,03/11/2024,7.1,0.0, ,32.3,9.0,93,16,3.84,23.31
YOUNG AIRPORT,04/11/2024,4.4,0.0, ,26.7,14.2,74,29,2.25,16.95
YOUNG AIRPORT,05/11/2024,5.8,0.0, ,29.6,6.0,95,21,2.32,26.82
YOUNG AIRPORT,06/11/2024,6.7,0.0, ,34.0,7.1,89,21,3.27,21.86
YOUNG AIRPORT,07/11/2024,3.3,0.0, ,25.7,17.4,97,35,2.22,10.79
YOUNG AIRPORT,08/11/2024,5.1,4.8, ,24.1,5.5,99,24,2.65,26.04
YOUNG AIRPORT,09/11/2024,5.2,0.0, ,26.2,3.2,94,23,2.37,25.64
YOUNG AIRPORT,10/11/2024,6.1,0.0, ,27.9,9.9,78,21,2.81,27.55
YOUNG AIRPORT,11/11/2024,3.6,0.0, ,25.1,13.4,87,41,2.46,12.96
YOUNG AIRPORT,12/11/2024,4.4,0.0, ,27.0,8.7,97,34,2.18,19.25
YOUNG AIRPORT,13/11/2024,4.8,0.0, ,26.2,13.5,94,40,3.10,20.74
YOUNG AIRPORT,14/11/2024,5.9,6.2, ,28.0,11.0,94,20,2.57,27.25
YOUNG AIRPORT,15/11/2024,6.5,0.0, ,29.8,10.5,91,17,2.87,27.80
YOUNG AIRPORT,16/11/2024,7.2,0.0, ,32.7,9.8,94,27,4.14,26.26
YOUNG AIRPORT,17/11/2024,3.7,0.0, ,28.9,18.4,96,46,4.77,6.62
YOUNG AIRPORT,18/11/2024,5.5,9.2, ,23.7,9.2,91,30,3.35,28.54
YOUNG AIRPORT,19/11/2024,5.7,0.0, ,27.1,4.2,94,18,2.20,28.70
YOUNG AIRPORT,20/11/2024,5.8,0.0, ,29.1,10.0,95,26,2.31,26.86
YOUNG AIRPORT,21/11/2024, ,0.0, , ,14.9,81,26,2.50,27.82
YOUNG AIRPORT,22/11/2024, , , ,32.5, ,90,22,2.19,25.91
YOUNG AIRPORT,23/11/2024,6.3,0.0, ,34.1,11.4,88,22,2.08,26.39
YOUNG AIRPORT,24/11/2024,6.6,0.0, ,35.1,11.8,91,21,2.70,23.22
YOUNG AIRPORT,25/11/2024,7.1,0.0, ,35.1,14.0,86,21,3.36,22.85
YOUNG AIRPORT,26/11/2024,4.9,0.0, ,31.6,15.3,87,31,2.54,15.88
YOUNG AIRPORT,27/11/2024, ,0.2, , ,19.1,96,56,2.97,7.56
YOUNG AIRPORT,28/11/2024, , , ,31.4, ,97,40,2.65,21.36
YOUNG AIRPORT,29/11/2024,3.3,2.8, ,27.0,18.4,95,57,3.19,11.55
YOUNG AIRPORT,30/11/2024, ,36.8, ,22.0,18.5,97,88,3.02, 
Totals:,,136.1,60, ,,,,,, 
