'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/02/2025,7.8,0.0, ,34.8,17.4,80,25,3.79,28.12
YOUNG AIRPORT,02/02/2025,7.4,0.0, ,34.9,14.4,89,18,3.01,28.09
YOUNG AIRPORT,03/02/2025,6.9,0.0, ,34.7,11.6,90,23,2.56,27.91
YOUNG AIRPORT,04/02/2025,6.9,0.0, ,36.8,15.3,88,19,2.39,25.91
YOUNG AIRPORT,05/02/2025,7.4,0.0, ,36.2,21.0,89,27,4.13,23.27
YOUNG AIRPORT,06/02/2025,6.3,8.6, ,34.2,17.1,92,29,2.02,27.77
YOUNG AIRPORT,07/02/2025,7.5,0.0, ,35.7,16.4,90,25,3.52,26.93
YOUNG AIRPORT,08/02/2025,5.7,1.8, ,32.8,19.1,91,33,3.98,16.33
YOUNG AIRPORT,09/02/2025,5.3,3.8, ,30.7,16.3,95,37,2.89,21.48
YOUNG AIRPORT,10/02/2025,5.2,24.8, ,27.0,13.4,96,43,4.59,21.89
YOUNG AIRPORT,11/02/2025,5.9,3.6, ,29.8,14.9,92,32,2.91,26.03
YOUNG AIRPORT,12/02/2025,6.5,0.0, ,31.2,16.6,87,31,3.53,25.89
YOUNG AIRPORT,13/02/2025,5.8,0.0, ,32.8,17.8,83,39,3.46,20.01
YOUNG AIRPORT,14/02/2025,2.4,21.6, ,27.3,19.8,97,65,2.74,7.54
YOUNG AIRPORT,15/02/2025,5.1,15.2, ,22.1,11.8,98,32,4.09,26.64
YOUNG AIRPORT,16/02/2025,5.1,0.0, ,20.2,7.6,87,26,4.45,26.84
YOUNG AIRPORT,17/02/2025,5.0,0.0, ,23.5,6.8,87,27,2.81,26.59
YOUNG AIRPORT,18/02/2025,5.5,0.0, ,27.6,8.5,91,21,2.56,25.86
YOUNG AIRPORT,19/02/2025,5.4,0.0, ,28.5,9.2,94,24,2.25,25.83
YOUNG AIRPORT,20/02/2025,5.8,0.0, ,28.5,11.3,91,41,4.40,25.25
YOUNG AIRPORT,21/02/2025,6.0,0.0, ,29.8,14.1,78,32,3.20,25.64
YOUNG AIRPORT,22/02/2025,5.5,0.0, ,31.6,14.0,90,33,2.41,23.93
YOUNG AIRPORT,23/02/2025,4.7,0.0, ,30.7,14.0,91,36,2.70,17.58
YOUNG AIRPORT,24/02/2025,6.5,0.0, ,33.5,16.0,88,25,3.00,25.17
YOUNG AIRPORT,25/02/2025,6.8,0.0, ,32.0,15.7,82,36,4.78,24.91
YOUNG AIRPORT,26/02/2025,6.4,0.0, ,34.8,16.1,86,31,2.88,24.82
YOUNG AIRPORT,27/02/2025,6.0,0.4, ,36.2,13.7,95,18,1.92,24.75
YOUNG AIRPORT,28/02/2025,6.2,0.0, ,34.5,13.3,85,24,2.58,23.94
Totals:,,167,79.8, ,,,,,, 
