'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/04/2025,4.5,0.0, ,25.3,12.5,75,31,3.69,17.20
YOUNG AIRPORT,02/04/2025,3.7,0.0, ,25.1,9.6,91,27,2.28,18.19
YOUNG AIRPORT,03/04/2025,4.0,0.0, ,26.7,5.4,91,21,2.48,16.62
YOUNG AIRPORT,04/04/2025,3.3,0.0, ,24.6,3.5,92,27,1.94,17.02
YOUNG AIRPORT,05/04/2025,3.5,0.0, ,21.8,2.2,94,30,2.87,17.60
YOUNG AIRPORT,06/04/2025,3.4,0.0, ,22.0,-1.5,92,22,2.46,16.29
YOUNG AIRPORT,07/04/2025,3.4,0.0, ,22.1,1.9,93,33,2.86,17.16
YOUNG AIRPORT,08/04/2025,3.1,0.0, ,24.4,0.5,93,32,1.87,17.00
YOUNG AIRPORT,09/04/2025,3.3,0.0, ,26.7,5.2,96,28,1.81,16.82
YOUNG AIRPORT,10/04/2025,3.0,0.0, ,27.0,11.4,81,31,1.63,13.68
YOUNG AIRPORT,11/04/2025,4.1,0.0, ,29.3,7.4,91,22,2.40,16.50
YOUNG AIRPORT,12/04/2025,4.2,0.0, ,28.6,11.6,86,27,3.00,16.00
YOUNG AIRPORT,13/04/2025,3.4,0.0, ,27.9,6.6,96,24,1.88,15.87
YOUNG AIRPORT,14/04/2025,4.1,0.0, ,29.0,6.2,85,24,2.56,15.78
YOUNG AIRPORT,15/04/2025,3.8,0.0, ,24.5,14.3,77,39,3.69,15.47
YOUNG AIRPORT,16/04/2025,3.7,0.0, ,24.2,4.5,94,17,2.68,15.59
YOUNG AIRPORT,17/04/2025,3.1,0.0, ,25.2,4.2,96,29,2.09,15.46
YOUNG AIRPORT,18/04/2025,3.1,0.0, ,26.6,3.3,93,28,1.81,15.29
YOUNG AIRPORT,19/04/2025,3.6,0.0, ,27.7,5.0,89,20,2.21,14.58
YOUNG AIRPORT,20/04/2025,3.5,0.0, ,28.5,5.0,90,30,2.59,10.18
YOUNG AIRPORT,21/04/2025,2.0,1.2, ,19.7,6.9,98,50,1.97,11.72
YOUNG AIRPORT,22/04/2025,2.7,0.0, ,23.0,5.7,96,46,3.42,9.08
YOUNG AIRPORT,23/04/2025,4.0,0.0, ,26.4,14.3,86,39,4.69,12.84
YOUNG AIRPORT,24/04/2025,3.2,0.0, ,25.9,10.3,93,31,2.42,14.43
YOUNG AIRPORT,25/04/2025,2.9,0.0, ,26.0,5.6,97,33,2.10,13.91
YOUNG AIRPORT,26/04/2025,2.0,0.0, ,22.9,9.3,94,53,2.15,8.43
YOUNG AIRPORT,27/04/2025,2.4,0.2, ,22.2,14.0,97,50,3.26,9.29
YOUNG AIRPORT,28/04/2025,2.3,0.0, ,24.5,6.6,98,42,1.67,12.72
YOUNG AIRPORT,29/04/2025,2.4,0.0, ,23.5,6.6,96,37,1.82,13.52
YOUNG AIRPORT,30/04/2025,2.1,0.0, ,17.9,8.3,92,56,3.76,9.96
Totals:,,97.8,1.4, ,,,,,, 
