input_name,bom_name,lat,lon,method
ADELAIDE (WEST TERRACE _ NGAYIRDAPIRA),ADELAIDE PARK,-23.1,150.7,fuzzy
BUSSELTON AERO,BELTON (SHADOW VALE),-32.2425,138.7105,fuzzy
DALY WATERS AIRSTRIP,DALGETY DOWNS AIRSTRIP,-25.2694,116.2211,fuzzy
DOUGLAS RIVER RESEARCH FARM,DOUGLAS RIVER,-41.7822,148.2525,fuzzy
KANGAROO FLATS (DEFENCE),KANGAROO LAKE,-35.55,143.7667,fuzzy
KEITH (MUNKORA),EDITH (MELROSE PARK),-33.7833,149.9333,fuzzy
KUITPO FOREST RESERVE,COMAUM FOREST RESERVE,-37.2008,140.9136,fuzzy
LAMEROO (AUSTIN PLAINS),MEROO,-24.0833,148.6,fuzzy
LOXTON RESEARCH CENTRE,LEXTON (BURRIBRI STATION),-37.2,143.5,fuzzy
MOUNT MAGNET AERO,MOUNT MARGARET,-26.8989,143.3381,fuzzy
MURRAY BRIDGE (PALLAMANA AERODROME),PERRY BRIDGE,-38.0167,147.2833,fuzzy
NEWDEGATE RESEARCH STATION,REDGATE,-26.2825,152.0164,fuzzy
PARAWA (SECOND VALLEY FOREST),YARAWA,-29.0333,149.0333,fuzzy
RENMARK AERO,BENCHMARK,-28.3342,152.1442,fuzzy
